"locus_tag","logFC","logCPM","PValue","FDR","gene_name","zscore","model","DE_rec"
"SL1344_2548",0.66,2.96,0.67,0.76,"SL1344_2548",0.320087870370343,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0463",5.07,8.72,0,0,"rpmJa",2.45885682239036,"HeLa-RNAseq","Amplified"
"SL1344_0001",-0.47,10.11,0.03,0.07,"thrL",-0.227941362233426,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0114",0.21,9.86,0.52,0.63,"leuL",0.101846140572382,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1722",1.3,3.2,0.19,0.3,"SL1344_1722",0.630476108305221,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0001",-0.06,7.04,0.87,0.92,"repY",-0.0290988973063948,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3763",1.76,9.45,0,0,"ivbL",0.853567654320915,"HeLa-RNAseq","Amplified"
"SL1344_0354",0.5,4.97,0.27,0.39,"SL1344_0354",0.242490810886623,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4392",-0.47,3.38,0.65,0.74,"pyrL",-0.227941362233426,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0724",-0.11,6.13,0.81,0.87,"ybgT",-0.0533479783950572,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4408",-0.49,6.26,0.19,0.3,"SL1344_4408",-0.237640994668891,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0696",4.43,2.97,0.04,0.08,"SL1344_0696",2.14846858445548,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3063",-0.59,5.08,0.27,0.39,"yqgB",-0.286139156846216,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0054",-1.41,10.9,0,0,"pndA",-0.683824086700278,"HeLa-RNAseq","Attenuated"
"SL1344_0709",-0.33,5.43,0.51,0.63,"SL1344_0709",-0.160043935185171,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4526",1.11,3.96,0.17,0.28,"yjjY",0.538329600168304,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1495",0.16,6.67,0.62,0.72,"rpsV",0.0775970594837195,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1767",0.35,10.35,0.13,0.23,"yobF",0.169743567620636,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4212",-1.39,3.53,0.21,0.33,"SL1344_4212",-0.674124454264813,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0757",-1.9,7.81,0.01,0.03,"ybhT",-0.921465081369169,"HeLa-RNAseq","Attenuated"
"SL1344_3134",-2.64,7.59,0,0,"SL1344_3134",-1.28035148148137,"HeLa-RNAseq","Attenuated"
"SL1344_2780",-1.39,5.59,0.01,0.02,"yqaE",-0.674124454264813,"HeLa-RNAseq","Attenuated"
"SL1344_1927",-0.61,5.14,0.54,0.65,"SL1344_1927",-0.295838789281681,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1783",5.7,9.51,0,0,"SL1344_1783",2.76439524410751,"HeLa-RNAseq","Amplified"
"SL1344_3360",-0.72,5.29,0.27,0.39,"yhdU",-0.349186767676738,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4452",7.51,7.73,0,0,"yjiS",3.64221197951708,"HeLa-RNAseq","Amplified"
"SL1344_1006",-0.43,7.66,0.13,0.23,"rmf",-0.208542097362496,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1059",3.12,5.95,0,0,"ymdF",1.51314265993253,"HeLa-RNAseq","Amplified"
"SL1344_1802",-0.49,4.65,0.42,0.54,"SL1344_1802",-0.237640994668891,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1989",-0.44,4.88,0.5,0.62,"SL1344_1989",-0.213391913580229,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3438",-0.23,4.99,0.72,0.8,"yhfG",-0.111545773007847,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3693",-1.18,8.47,0.01,0.03,"rpmG",-0.572278313692431,"HeLa-RNAseq","Attenuated"
"SL1344_1031",-0.14,3.74,0.91,0.94,"orfX",-0.0678974270482546,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3447",-2.01,4.26,0.02,0.05,"yhfL",-0.974813059764226,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1737",-1.5,5.26,0.01,0.03,"SL1344_1737",-0.72747243265987,"HeLa-RNAseq","Attenuated"
"SL1344_2257",-0.18,4.65,0.78,0.85,"SL1344_2257",-0.0872966919191844,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4272",-0.86,4.43,0.33,0.46,"ecnA",-0.417084194724992,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1629",1.63,3.47,0.21,0.33,"SL1344_1629",0.790520043490392,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1752",-0.79,6.35,0.03,0.07,"yoaH",-0.383135481200865,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1207",0.48,4.88,0.48,0.59,"yoaG",0.232791178451159,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1443",-0.3,4.52,0.62,0.72,"SL1344_1443",-0.145494486531974,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1659",0.91,4.69,0.19,0.3,"yciG",0.441333275813655,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1797",5.16,7.63,0,0,"pagM",2.50250516834995,"HeLa-RNAseq","Amplified"
"SL1344_1916",0.99,6.27,0.01,0.01,"SL1344_1916",0.480131805555514,"HeLa-RNAseq","Amplified"
"SL1344_1301",-0.78,7.24,0.03,0.06,"ydiH",-0.378285664983133,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2700",1.73,7.11,0,0.01,"SL1344_2700",0.839018205667717,"HeLa-RNAseq","Amplified"
"SL1344_4097",2.46,4.16,0.05,0.11,"SL1344_4097",1.19305478956219,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0138",-0.31,4.66,0.56,0.67,"yacG",-0.150344302749707,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0384",-0.5,7.4,0.08,0.15,"yaiA",-0.242490810886623,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0996",0.03,3.76,0.97,0.99,"gtgF",0.0145494486531974,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1280",-3.54,6.97,0,0,"ydiE",-1.71683494107729,"HeLa-RNAseq","Attenuated"
"SL1344_1575",1.64,5.67,0,0,"ynbE",0.795369859708125,"HeLa-RNAseq","Amplified"
"SL1344_1781",0.47,4.59,0.44,0.57,"yebW",0.227941362233426,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2468",0.17,6.39,0.61,0.71,"SL1344_2468",0.082446875701452,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2585",-1.74,5.33,0,0.01,"SL1344_2585",-0.84386802188545,"HeLa-RNAseq","Attenuated"
"SL1344_3588",-1.78,4.28,0.02,0.05,"yhjT",-0.86326728675638,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0350",-0.69,3.33,0.68,0.77,"SL1344_0350",-0.33463731902354,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1912",-0.39,6.23,0.31,0.43,"dsrB",-0.189142832491566,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3411",-1.86,8.53,0,0,"bfd",-0.902065816498239,"HeLa-RNAseq","Attenuated"
"SL1344_0589",3.04,6.19,0,0,"ybdD",1.47434413019067,"HeLa-RNAseq","Amplified"
"SL1344_4180",0.28,6.84,0.76,0.83,"pspG",0.135794854096509,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1792",2.36,3.97,0.04,0.08,"SL1344_1792",1.14455662738486,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1799",5.33,11.17,0,0,"pagK",2.58495204405141,"HeLa-RNAseq","Amplified"
"SL1344_1946",2.2,3.38,0.07,0.14,"SL1344_1946",1.06695956790114,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2499",1.02,7.41,0,0,"yfhJ",0.494681254208712,"HeLa-RNAseq","Amplified"
"SL1344_3423",3.49,6.65,0,0,"yheV",1.69258585998863,"HeLa-RNAseq","Amplified"
"SL1344_3615",-2.62,12.57,0,0,"cspA",-1.27065184904591,"HeLa-RNAseq","Attenuated"
"SL1344_1439",0.68,4.18,0.35,0.48,"ydfZ",0.329787502805808,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2673",1.06,3.49,0.59,0.69,"SL1344_2673",0.514080519079642,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3338",-2.63,4.18,0.05,0.1,"yhcR",-1.27550166526364,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3586",0.38,5.04,0.45,0.57,"yhjR",0.184293016273834,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3900",-1.86,6.59,0,0,"yifL",-0.902065816498239,"HeLa-RNAseq","Attenuated"
"SL1344_4462",1.4,4.51,0.02,0.05,"yjiX",0.678974270482546,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0018",-2.08,5.62,0.01,0.02,"SL1344_P2_0018",-1.00876177328835,"HeLa-RNAseq","Attenuated"
"SL1344_0689",0.36,7.26,0.4,0.53,"ybfA",0.174593383838369,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1330A",0.61,4.37,0.33,0.46,"SL1344_1330A",0.295838789281681,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2595",1.74,4.67,0.02,0.04,"SL1344_2595",0.84386802188545,"HeLa-RNAseq","Amplified"
"SL1344_4339",0.15,10.01,0.54,0.65,"ytfK",0.072747243265987,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P3_0005",0.49,9.34,0.09,0.16,"SL1344_P3_0005",0.237640994668891,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1766",0.22,10.53,0.56,0.67,"cspC",0.106695956790114,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3170",0.61,5.6,0.21,0.32,"glgS",0.295838789281681,"HeLa-RNAseq","FDR>=0.05"
