"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","spi","DE"
"SL1344_1561",6.96583957752344,9.35314821768178,1334.34732071781,4.09309651344222e-10,6.94637461128316e-07,"sseJ","SPI-2","Amplified"
"SL1344_1898",-6.27271651551988,8.5116604024423,1105.54002486616,8.5842028217429e-10,6.94637461128316e-07,"fliF","-","Attenuated"
"SL1344_3190",-5.63366302179805,9.35214017286154,1104.49461734751,8.61621879076415e-10,6.94637461128316e-07,"aer","-","Attenuated"
"SL1344_1030",-7.0320577430806,11.2613586528079,1083.21770746782,9.30157705281673e-10,6.94637461128316e-07,"sopB","-","Attenuated"
"SL1344_1109",-5.47233914071672,9.10094429758382,1043.00521992512,1.07941607182369e-09,6.94637461128316e-07,"flgM","-","Attenuated"
"SL1344_1890",-5.55500267251344,8.6894069682386,989.520718836775,1.32769418591307e-09,6.94637461128316e-07,"fliS","-","Attenuated"
"SL1344_2841",7.5210550724972,10.0288938957813,963.362011868012,1.47517772303438e-09,6.94637461128316e-07,"sitA","SPI-1","Amplified"
"SL1344_2762",6.00679325568481,9.14687064455043,912.248765817816,1.82769261040092e-09,6.94637461128316e-07,"iroN","-","Amplified"
"SL1344_2758",7.00503663505376,7.96269875147101,887.490265251663,2.03636824150506e-09,6.94637461128316e-07,"iroB","-","Amplified"
"SL1344_1897",-7.08596227993256,7.10125519961386,877.512253127378,2.128862035089e-09,6.94637461128316e-07,"fliE","-","Attenuated"
"SL1344_2759",5.42413139974401,8.67587890196523,873.328018395528,2.16921218215245e-09,6.94637461128316e-07,"iroC","-","Amplified"
"SL1344_1628",5.39441462301043,9.87550572564669,863.86951206295,2.26401416764638e-09,6.94637461128316e-07,"steC","SPI-2","Amplified"
"SL1344_1885",-5.33045820067526,9.95907878696815,856.747694497358,2.33883975472351e-09,6.94637461128316e-07,"fliA","-","Attenuated"
"SL1344_1891",-5.36857865465878,7.6973936766266,840.661587951651,2.51958879155086e-09,6.94637461128316e-07,"fliT","-","Attenuated"
"SL1344_0573",4.88334893390047,8.2572302956669,838.99972414881,2.53924444113717e-09,6.94637461128316e-07,"fepA","-","Amplified"
"SL1344_3189",-5.89214099621052,9.96455172275691,815.414126472071,2.84007017729883e-09,6.94637461128316e-07,"STM3216",NA,"Attenuated"
"SL1344_2043",-5.30809624626321,7.09567490439816,813.826873425661,2.86187912725319e-09,6.94637461128316e-07,"sopA","SPI-1","Attenuated"
"SL1344_1115",-4.63240014071817,8.5581902347099,811.206215259367,2.89834823836572e-09,6.94637461128316e-07,"flgF","-","Attenuated"
"SL1344_2853",-7.23261813306566,9.4943055564319,773.204868106795,3.49893224016569e-09,7.73461159420003e-07,"prgI","SPI-1","Attenuated"
"SL1344_1663",-6.88476293198695,10.9105126018957,768.386723851343,3.58581900519241e-09,7.73461159420003e-07,"ompW","-","Attenuated"
"SL1344_1901",-5.02288557593987,7.46898206178893,748.286097667133,3.9788388141019e-09,8.00818629137887e-07,"fliI","-","Attenuated"
"SL1344_1108",-5.03129320495148,8.77390157796251,738.038276313286,4.19999630005363e-09,8.00818629137887e-07,"flgN","-","Attenuated"
"SL1344_1332",5.16592155655562,11.0658049418058,734.954371285255,4.26954762869063e-09,8.00818629137887e-07,"sseBa","SPI-2","Amplified"
"SL1344_0585",5.28896214082133,6.57308633523516,718.672906351405,4.66163869998139e-09,8.37929556321656e-07,"entB","-","Amplified"
"SL1344_1329",5.24271408617848,9.3653730173403,706.140418763978,4.99455721677e-09,8.55976270522941e-07,"ssaD","SPI-2","Amplified"
"SL1344_1517",4.94452910382674,8.26753939903504,694.467992902393,5.33183518609885e-09,8.55976270522941e-07,"STM1586",NA,"Amplified"
"SL1344_1415",8.67316092290274,10.6537421179102,693.624683096829,5.35729237462202e-09,8.55976270522941e-07,"asr","-","Amplified"
"SL1344_0586",5.54278472158125,6.55199268746213,683.163438165193,5.68611621943505e-09,8.76068048951529e-07,"entA","-","Amplified"
"SL1344_2843",7.35930703366182,9.35788744061739,664.034309568248,6.35553371457183e-09,9.19210185889121e-07,"sitC","SPI-1","Amplified"
"SL1344_4251",-8.72717155311956,10.467957736759,663.057953051435,6.39228223845007e-09,9.19210185889121e-07,"rtsA","-","Attenuated"
"SL1344_1884",-4.93732935688128,8.3009967604523,652.670743452355,6.80021452449339e-09,9.46326627698854e-07,"fliZ","-","Attenuated"
"SL1344_1346",5.01515425396125,10.331093567463,642.21701189393,7.24422327359694e-09,9.76611850071787e-07,"ssaL","SPI-2","Amplified"
"SL1344_3112",-5.72887814463292,10.46243617985,626.389758710712,7.98793087264351e-09,1.04424041771467e-06,"STM3138",NA,"Attenuated"
"SL1344_1867",-4.50230662485635,5.79711258257792,613.867501032878,8.64514594785969e-09,1.06835474798387e-06,"STM1934",NA,"Attenuated"
"SL1344_2283",-5.87681812996278,9.33062765598604,613.459269061963,8.66769035221036e-09,1.06835474798387e-06,"STM2314",NA,"Attenuated"
"SL1344_1353",5.40817973925135,9.88352880036591,594.035163324567,9.83101990824208e-09,1.17808388567101e-06,"ssaR","-","Amplified"
"SL1344_1560",4.82933790382257,6.38555842163363,587.289404150489,1.02803505088314e-08,1.19863329986753e-06,"STM1630",NA,"Amplified"
"SL1344_2760",5.84391834453662,6.43156823720109,564.144957564149,1.20314099858685e-08,1.33920208832659e-06,"iroD","-","Amplified"
"SL1344_1342",4.9365282736663,9.39339651390665,552.868106501388,1.30199233441085e-08,1.33920208832659e-06,"ssaI","SPI-2","Amplified"
"SL1344_1889",-5.78052571715387,10.6171734804455,549.38758203657,1.33454115210439e-08,1.33920208832659e-06,"fliD","-","Attenuated"
"SL1344_1888",-6.81033110462742,12.863966588963,549.012683000361,1.33810760243876e-08,1.33920208832659e-06,"fliC","-","Attenuated"
"SL1344_0574",6.90688994850207,7.52583623656337,547.085479842004,1.35663086392663e-08,1.33920208832659e-06,"fes","-","Amplified"
"SL1344_4255",4.46578073309021,11.128958326445,546.366023790492,1.36362815344478e-08,1.33920208832659e-06,"phoN","-","Amplified"
"SL1344_3786",-4.50975863889243,6.85765771649841,539.484168318683,1.43289863016722e-08,1.33920208832659e-06,"yhjA","-","Attenuated"
"SL1344_1334",5.27626993257257,11.8940895166862,539.474017751026,1.43300401741332e-08,1.33920208832659e-06,"sseC","SPI-2","Amplified"
"SL1344_1341",4.73241925941411,8.98907545725818,539.18520050438,1.43600670555669e-08,1.33920208832659e-06,"ssaH",NA,"Amplified"
"STnc1110",-3.68712261083645,7.72722626139072,533.283155758588,1.49913010946672e-08,1.33920208832659e-06,"STnc1110",NA,"Attenuated"
"SL1344_3472",5.17066623297355,8.108923756167,531.37241156835,1.52030776732375e-08,1.33920208832659e-06,"feoA","-","Amplified"
"SL1344_2874",-6.62374880497596,9.32077334280582,528.702445767816,1.55053187840818e-08,1.33920208832659e-06,"invB","SPI-1","Attenuated"
"SL1344_1899",-5.67128400297671,8.18529360996411,528.560630171977,1.55215819231177e-08,1.33920208832659e-06,"fliG","-","Attenuated"
"SL1344_2844",5.79620310558496,9.02854285625989,522.738378054154,1.62081120340973e-08,1.36181789880337e-06,"sitD","SPI-1","Amplified"
"SL1344_3473",4.88652601641057,10.2856423266257,519.22884114456,1.66403550156514e-08,1.36181789880337e-06,"feoB","-","Amplified"
"SL1344_0835",4.48241582899059,7.72541469138536,517.881723892494,1.68100980851773e-08,1.36181789880337e-06,"STM0859",NA,"Amplified"
"SL1344_2506",4.43478990229441,9.14874615379668,514.422441574294,1.72560249982573e-08,1.36181789880337e-06,"yfhP","-","Amplified"
"SL1344_1349",4.59980982357736,9.83736757319912,512.38373817512,1.75257764524328e-08,1.36181789880337e-06,"ssaN","-","Amplified"
"SL1344_0774",5.01557413073378,6.10717180844059,511.252415060562,1.76777474114485e-08,1.36181789880337e-06,"bioDa","-","Amplified"
"SL1344_2863",-7.85916102078765,12.0341183334851,499.156484047173,1.941051636254e-08,1.46906960680697e-06,"sipC","SPI-1","Attenuated"
"SL1344_1027",4.65951868593599,9.9299838966308,495.913299069185,1.99108855270836e-08,1.47835124750612e-06,"pipB","-","Amplified"
"SL1344_1029",-7.72074295569724,11.0537235748486,490.14361139964,2.0841658519928e-08,1.47835124750612e-06,"pipC","-","Attenuated"
"SL1344_1348",4.7672676833041,10.020552429402,489.927079015603,2.08776395935776e-08,1.47835124750612e-06,"ssaV","SPI-2","Amplified"
"SL1344_2505",3.78223216505257,9.61012498250031,486.984961751143,2.13743284726375e-08,1.47835124750612e-06,"iscS","-","Amplified"
"SL1344_0773",5.39117714590499,6.33695485458185,484.338736635763,2.18337681619788e-08,1.47835124750612e-06,"bioC","-","Amplified"
"SL1344_4434",4.02839730477441,8.88191060626663,482.813729222546,2.21041642436922e-08,1.47835124750612e-06,"STM4504",NA,"Amplified"
"SL1344_2877",-7.25283357000237,10.1634877873112,482.294324561728,2.21972154782491e-08,1.47835124750612e-06,"invG","SPI-1","Attenuated"
"SL1344_1887",-3.88651160222734,7.15064378842943,480.111104860957,2.25937463785296e-08,1.47835124750612e-06,"fliB","-","Attenuated"
"SL1344_3557",-4.17052880017185,7.14021741193949,479.982746234203,2.26173348019017e-08,1.47835124750612e-06,"yhiP","-","Attenuated"
"SL1344_3253",5.35683118025906,8.99601959125751,473.929170227617,2.37657038367452e-08,1.52011229030165e-06,"deaD","-","Amplified"
"SL1344_3474",3.97209112511362,7.49981940458629,472.936264873208,2.39609725870451e-08,1.52011229030165e-06,"yhgG","-","Amplified"
"SL1344_3131",-3.42677756666363,8.48059501611215,470.145168512474,2.45207483280645e-08,1.52239698794295e-06,"yghA","-","Attenuated"
"SL1344_1331",4.85943527277409,9.78374804767032,465.014804013719,2.55930865307597e-08,1.52239698794295e-06,"sseA","SPI-2","Amplified"
"SL1344_3542",-5.34740577701013,9.03680062377842,462.849296054566,2.60633174269101e-08,1.52239698794295e-06,"tcp","-","Attenuated"
"SL1344_1784",-7.25077288503714,9.11915693528923,461.742735946909,2.63077804773965e-08,1.52239698794295e-06,"sopE2","SPI-1","Attenuated"
"SL1344_1563",3.77389676055883,8.11740561152677,461.580908439289,2.63437719916137e-08,1.52239698794295e-06,"STM1633",NA,"Amplified"
"SL1344_0584",5.31045924333801,6.68744032935691,461.053892886671,2.64614120381533e-08,1.52239698794295e-06,"entE","-","Amplified"
"SL1344_1287",3.57442692260105,6.69135012278895,461.02775623708,2.64672633508857e-08,1.52239698794295e-06,"ydiR","-","Amplified"
"SL1344_0003",3.32162172088102,9.3019720523643,453.201639415659,2.82947086724595e-08,1.60409973560255e-06,"thrB","-","Amplified"
"RyeF",4.43306545973584,7.73404227864013,450.404444809954,2.89860292211068e-08,1.60409973560255e-06,"RyeF","-","Amplified"
