"gene_name","SL1344_tag","PA","H2O2","NaCl","pH3","starvation"
"atpC","SL1344_3831","STM14_RS20400","STM14_RS20400","STM14_RS20400","STM14_RS20400","STM14_RS20400"
"atpI","SL1344_3839","STM14_RS20440","STM14_RS20440","STM14_RS20440","0","STM14_RS20440"
"gidA","SL1344_3841","STM14_RS20450","0","STM14_RS20450","0","STM14_RS20450"
"gidB","SL1344_3840","STM14_RS20445","0","STM14_RS20445","0","STM14_RS20445"
"sdhA","SL1344_0716","STM14_RS04285","0","0","0","0"
"STM14_4640","SL1344_3812","STM14_RS20305","0","0","0","STM14_RS20305"
"STM14_4641","SL1344_3813","STM14_RS20310","0","0","0","STM14_RS20310"
"STM14_4659","SL1344_3830","STM14_RS20395","STM14_RS20395","STM14_RS20395","0","STM14_RS20395"
"trmE","SL1344_3810","STM14_RS20290","STM14_RS20290","0","0","STM14_RS20290"
"xerC","SL1344_3903","STM14_RS20805","STM14_RS20805","0","STM14_RS20805","STM14_RS20805"
"yiiD","SL1344_3975","STM14_RS21195","0","0","0","0"
"arcA","SL1344_4397","0","STM14_RS23410","0","0","0"
"arcB","SL1344_3300","0","STM14_RS17695","0","0","0"
"aroB","SL1344_3453","0","STM14_RS18495","0","STM14_RS18495","STM14_RS18495"
"aroK","SL1344_3454","0","STM14_RS18500","0","STM14_RS18500","0"
"corA","SL1344_3906","0","STM14_RS20820","0","0","0"
"dam","SL1344_3451","0","STM14_RS18485","0","STM14_RS18485","STM14_RS18485"
"damX","SL1344_3452","0","STM14_RS18490","0","STM14_RS18490","STM14_RS18490"
"dsbC","SL1344_3019","0","STM14_RS16265","0","0","0"
"glnD","SL1344_0215","0","STM14_RS01655","0","0","0"
"hscA","SL1344_0320","0","STM14_RS24400","0","STM14_RS24400","0"
"hscB","SL1344_2502","0","STM14_RS13925","0","0","0"
"lasT","SL1344_4527","0","STM14_RS24090","0","0","0"
"pal","SL1344_0731","0","STM14_RS04370","0","0","STM14_RS04370"
"recJ","SL1344_3018","0","STM14_RS16260","0","0","0"
"rpe","SL1344_3450","0","STM14_RS18480","0","STM14_RS18480","STM14_RS18480"
"rpoN","SL1344_3292","0","STM14_RS17655","0","0","0"
"sun","SL1344_3375","0","STM14_RS18105","0","0","0"
"trkA","SL1344_3376","0","STM14_RS18110","0","0","0"
"uvrD","SL1344_3905","0","STM14_RS20815","0","STM14_RS20815","STM14_RS20815"
"xerD","SL1344_3020","0","STM14_RS16270","0","0","0"
"ybgF","SL1344_0732","0","ybgF","0","0","0"
"yfhJ","SL1344_2499","0","yfhJ","0","yfhJ","0"
"yigA","SL1344_3902","0","STM14_RS20800","0","0","0"
"yigB","SL1344_3904","0","STM14_RS20810","0","STM14_RS20810","STM14_RS20810"
"yjjY","SL1344_4526","0","STM14_RS24085","0","0","0"
"cigR","SL1344_3727","0","0","STM14_RS19875","0","0"
"dcuB","SL1344_4238","0","0","STM14_RS22585","0","0"
"dcuR","SL1344_4240","0","0","STM14_RS22595","0","0"
"dcuS","SL1344_4241","0","0","STM14_RS22600","0","0"
"fidL","SL1344_3724","0","0","STM14_RS19860","0","0"
"iacP","SL1344_2860","0","0","STM14_RS15445","0","STM14_RS15445"
"invA","SL1344_2875","0","0","STM14_RS15520","0","STM14_RS15520"
"invB","SL1344_2874","0","0","STM14_RS15515","0","STM14_RS15515"
"invC","SL1344_2873","0","0","STM14_RS15510","0","STM14_RS15510"
"invE","SL1344_2876","0","0","STM14_RS15525","0","STM14_RS15525"
"invF","SL1344_2878","0","0","STM14_RS15535","0","STM14_RS15535"
"invG","SL1344_1328","0","0","STM14_RS07825","0","STM14_RS07825"
"invI","SL1344_2872","0","0","STM14_RS15505","0","STM14_RS15505"
"invJ","SL1344_2871","0","0","STM14_RS15500","0","STM14_RS15500"
"marT","SL1344_3725","0","0","STM14_RS19865","0","0"
"mgtB","SL1344_3728","0","0","STM14_RS19880","0","0"
"misL","SL1344_3723","0","0","STM14_RS19855","0","0"
"sicA","SL1344_2865","0","0","STM14_RS15470","0","STM14_RS15470"
"sicP","SL1344_2859","0","0","STM14_RS15435","0","STM14_RS15435"
"sipA","SL1344_2861","0","0","STM14_RS15450","0","STM14_RS15450"
"sipB","SL1344_2864","0","0","STM14_RS15465","0","STM14_RS15465"
"sipC","SL1344_2863","0","0","STM14_RS15460","0","STM14_RS15460"
"sipD","SL1344_2862","0","0","STM14_RS15455","0","STM14_RS15455"
"slsA","SL1344_3726","0","0","STM14_RS19870","0","0"
"spaO","SL1344_2870","0","0","STM14_RS15495","0","STM14_RS15495"
"spaP","SL1344_2869","0","0","STM14_RS15490","0","STM14_RS15490"
"spaQ","SL1344_2868","0","0","STM14_RS15485","0","STM14_RS15485"
"spaR","SL1344_2867","0","0","STM14_RS15480","0","STM14_RS15480"
"spaS","SL1344_2866","0","0","STM14_RS15475","0","STM14_RS15475"
"sptP","SL1344_2858","0","0","STM14_RS15430","0","STM14_RS15430"
"STM14_4542","SL1344_3731","0","0","STM14_RS19895","0","0"
"STM14_4823","SL1344_3956","0","0","STM14_RS21100","0","0"
"STM14_4824","SL1344_3957","0","0","STM14_RS21105","0","0"
"STM14_4825","SL1344_3958","0","0","STM14_RS21110","0","0"
"STM14_4826","SL1344_3959","0","0","STM14_RS21115","0","0"
"STM14_4827","SL1344_3960","0","0","STM14_RS21120","0","0"
"STM14_4828","SL1344_3961","0","0","STM14_RS21125","0","0"
"STM14_5175","SL1344_4239","0","0","STM14_RS22590","0","0"
"STM14_5181","SL1344_4245","0","0","STM14_RS22620","0","0"
"STM14_5182","SL1344_4246","0","0","STM14_RS22625","0","0"
"STM14_5184","SL1344_4247","0","0","STM14_RS22630","0","0"
"STM14_5185","SL1344_4248","0","0","STM14_RS22635","0","0"
"yicL","SL1344_3730","0","0","STM14_RS19890","0","0"
"yihO","SL1344_3963","0","0","STM14_RS21135","0","0"
"yihP","SL1344_3964","0","0","STM14_RS21140","0","0"
"allP","SL1344_0515","0","0","0","STM14_RS03220","0"
"barA","SL1344_2939","0","0","0","STM14_RS15835","0"
"celF","SL1344_1251","0","0","0","STM14_RS07440","STM14_RS07440"
"cls","SL1344_1670","0","0","0","STM14_RS09595","STM14_RS09595"
"csgB","SL1344_1080","0","0","0","STM14_RS06215","0"
"csgD","SL1344_1079","0","0","0","STM14_RS06210","0"
"csgE","SL1344_1078","0","0","0","STM14_RS06205","0"
"csgF","SL1344_1077","0","0","0","STM14_RS06200","0"
"csgG","SL1344_1076","0","0","0","STM14_RS06195","0"
"envE","SL1344_1181","0","0","0","STM14_RS07040","0"
"envF","SL1344_1179","0","0","0","STM14_RS07030","0"
"exbB","SL1344_3133","0","0","0","STM14_RS16865","0"
"exbD","SL1344_3132","0","0","0","STM14_RS16860","0"
"fdhD","SL1344_3986","0","0","0","STM14_RS21250","0"
"fdhE","SL1344_3981","0","0","0","STM14_RS21225","0"
"fdoH","SL1344_3983","0","0","0","STM14_RS21235","0"
"fdoI","SL1344_3982","0","0","0","STM14_RS21230","0"
"glpD","SL1344_3493","0","0","0","STM14_RS18690","0"
"metC","SL1344_3135","0","0","0","STM14_RS16875","0"
"mrp","SL1344_2131","0","0","0","STM14_RS11975","STM14_RS11975"
"msgA","SL1344_1180","0","0","0","STM14_RS07035","0"
"nhaA","SL1344_0040","0","0","0","STM14_RS00765","STM14_RS00765"
"orf408","SL1344_1316","0","0","0","STM14_RS07765","0"
"oxyR","SL1344_4074","0","0","0","STM14_RS21685","STM14_RS21685"
"pagC","SL1344_1184","0","0","0","STM14_RS07065","0"
"pagD","SL1344_1183","0","0","0","STM14_RS07050","0"
"pagK","SL1344_1799","0","0","0","STM14_RS10225","STM14_RS10225"
"pagO","SL1344_1793","0","0","0","STM14_RS10210","STM14_RS10210"
"pipB","SL1344_1027","0","0","0","STM14_RS05930","0"
"pipC","SL1344_1029","0","0","0","STM14_RS05940","0"
"pncB","SL1344_0941","0","0","0","STM14_RS05475","0"
"selA","SL1344_3648","0","0","0","STM14_RS19485","0"
"selB","SL1344_3647","0","0","0","STM14_RS19480","0"
"sopB","SL1344_1030","0","0","0","STM14_RS05945","0"
"ssaC","SL1344_1328","0","0","0","STM14_RS07825","STM14_RS07825"
"ssaD","SL1344_1329","0","0","0","STM14_RS07830","STM14_RS07830"
"ssaG","SL1344_1340","0","0","0","STM14_RS07885","STM14_RS07885"
"ssaI","SL1344_1342","0","0","0","STM14_RS07895","STM14_RS07895"
"ssaK","SL1344_1345","0","0","0","STM14_RS07910","STM14_RS07910"
"ssaL","SL1344_1346","0","0","0","STM14_RS07915","STM14_RS07915"
"sscA","SL1344_1333","0","0","0","STM14_RS07850","STM14_RS07850"
"sseC","SL1344_1334","0","0","0","STM14_RS07855","STM14_RS07855"
"sseG","SL1344_1339","0","0","0","STM14_RS07880","STM14_RS07880"
"ssrA","SL1344_1326","0","0","0","STM14_RS07815","STM14_RS07815"
"stcA","SL1344_2129","0","0","0","stcA","stcA"
"STM14_0422","SL1344_0355","0","0","0","STM14_RS02415","0"
"STM14_0423","SL1344_0356","0","0","0","STM14_RS02420","0"
"STM14_0886","SL1344_0739","0","0","0","STM14_RS04435","STM14_RS04435"
"STM14_0887","SL1344_0740","0","0","0","STM14_RS04440","STM14_RS04440"
"STM14_0888","SL1344_0741","0","0","0","STM14_RS04445","STM14_RS04445"
"STM14_1134","SL1344_0938","0","0","0","STM14_RS05455","0"
"STM14_1138","SL1344_0940","0","0","0","STM14_RS05470","0"
"STM14_1140","SL1344_0942","0","0","0","STM14_RS05480","0"
"STM14_1486","SL1344_1177","0","0","0","STM14_RS07020","0"
"STM14_1706","SL1344_1344","0","0","0","STM14_RS07905","STM14_RS07905"
"STM14_1979","SL1344_1565","0","0","0","STM14_RS09045","STM14_RS09045"
"STM14_1980","SL1344_1566","0","0","0","STM14_RS09050","STM14_RS09050"
"STM14_1981","SL1344_1567","0","0","0","STM14_RS09055","STM14_RS09055"
"STM14_2159","SL1344_1713","0","0","0","STM14_RS09815","STM14_RS09815"
"STM14_2258","SL1344_1795","0","0","0","STM14_RS10220","STM14_RS10220"
"STM14_2430","SL1344_1929","0","0","0","STM14_RS10910","0"
"STM14_2808","SL1344_2243","0","0","0","STM14_RS12580","STM14_RS12580"
"STM14_3310","SL1344_2730","0","0","0","STM14_RS14740","0"
"STM14_3311","SL1344_2731","0","0","0","STM14_RS14745","0"
"STM14_3333","SL1344_2751","0","0","0","STM14_RS14850","0"
"STM14_3334","SL1344_2752","0","0","0","STM14_RS14855","0"
"STM14_4992","SL1344_4094","0","0","0","STM14_RS21830","0"
"STM14_4993","SL1344_4095","0","0","0","STM14_RS21835","0"
"STM14_5404","SL1344_4433","0","0","0","STM14_RS23595","0"
"STM14_5405","SL1344_4434","0","0","0","STM14_RS23600","0"
"visC","SL1344_3032","0","0","0","STM14_RS16335","0"
"ycdZ","SL1344_1075","0","0","0","STM14_RS06190","0"
"ydiF","SL1344_1291","0","0","0","STM14_RS07645","STM14_RS07645"
"ydiO","SL1344_1290","0","0","0","STM14_RS07640","STM14_RS07640"
"ydiP","SL1344_1289","0","0","0","STM14_RS07635","STM14_RS07635"
"yehE","SL1344_2130","0","0","0","STM14_RS11970","STM14_RS11970"
"argR","SL1344_3332","0","0","0","0","STM14_RS17860"
"aroD","SL1344_1292","0","0","0","0","STM14_RS07650"
"aroG","SL1344_0737","0","0","0","0","STM14_RS04425"
"bfd","SL1344_3411","0","0","0","0","STM14_RS18285"
"bfr","SL1344_3410","0","0","0","0","STM14_RS18280"
"celA","SL1344_1247","0","0","0","0","STM14_RS07420"
"celB","SL1344_1248","0","0","0","0","STM14_RS07425"
"celC","SL1344_1249","0","0","0","0","celC"
"celD","SL1344_1250","0","0","0","0","STM14_RS07435"
"cpxA","SL1344_4007","0","0","0","0","STM14_RS21360"
"cpxR","SL1344_4008","0","0","0","0","STM14_RS21365"
"cyaA","SL1344_3894","0","0","0","0","STM14_RS20760"
"cyaY","SL1344_3898","0","0","0","0","STM14_RS20780"
"envZ","SL1344_3468","0","0","0","0","STM14_RS18570"
"fadB","SL1344_3936","0","0","0","0","STM14_RS20970"
"fadD","SL1344_1747","0","0","0","0","STM14_RS09985"
"fadL","SL1344_2360","0","0","0","0","STM14_RS13170"
"fbp","SL1344_4348","0","0","0","0","STM14_RS23155"
"fruR","SL1344_0118","0","0","0","0","STM14_RS01170"
"galF","SL1344_2075","0","0","0","0","STM14_RS11695"
"gnd","SL1344_2058","0","0","0","0","STM14_RS11610"
"gogB","SL1344_2546","0","0","0","0","STM14_RS14145"
"gshA","SL1344_2803","0","0","0","0","STM14_RS15125"
"hflC","SL1344_4298","0","0","0","0","STM14_RS22900"
"hflK","SL1344_4297","0","0","0","0","STM14_RS22895"
"hflX","SL1344_4296","0","0","0","0","STM14_RS22890"
"hfq","SL1344_4295","0","0","0","0","STM14_RS22885"
"hilA","SL1344_2856","0","0","0","0","STM14_RS15420"
"hilC","SL1344_2847","0","0","0","0","STM14_RS15375"
"hilD","SL1344_2855","0","0","0","0","STM14_RS15415"
"iagB","SL1344_2857","0","0","0","0","STM14_RS15425"
"invH","SL1344_2879","0","0","0","0","STM14_RS15540"
"kdpD","SL1344_0685","0","0","0","0","STM14_RS04130"
"lepA","SL1344_2545","0","0","0","0","STM14_RS14140"
"mdh","SL1344_3331","0","0","0","0","STM14_RS17855"
"mtlD","SL1344_3651","0","0","0","0","STM14_RS19500"
"nagA","SL1344_0665","0","0","0","0","STM14_RS04025"
"nagC","SL1344_0664","0","0","0","0","STM14_RS04020"
"nuoC","SL1344_2295","0","0","0","0","STM14_RS12840"
"nuoF","SL1344_2293","0","0","0","0","STM14_RS12830"
"nuoG","SL1344_2292","0","0","0","0","STM14_RS12825"
"nuoH","SL1344_2291","0","0","0","0","STM14_RS12820"
"nuoL","SL1344_2287","0","0","0","0","STM14_RS12800"
"nuoM","SL1344_2286","0","0","0","0","STM14_RS12795"
"nuoN","SL1344_2285","0","0","0","0","STM14_RS12790"
"oafA","SL1344_2208","0","0","0","0","oafA"
"ompR","SL1344_3469","0","0","0","0","STM14_RS18575"
"orgA","SL1344_2850","0","0","0","0","STM14_RS15390"
"orgC","SL1344_2848","0","0","0","0","orgC"
"pepA","SL1344_4407","0","0","0","0","STM14_RS23460"
"pepP","SL1344_3034","0","0","0","0","STM14_RS16345"
"pepQ","SL1344_3937","0","0","0","0","STM14_RS20975"
"phoQ","SL1344_1168","0","0","0","0","STM14_RS06660"
"ppa","SL1344_4347","0","0","0","0","STM14_RS23150"
"prgH","SL1344_2854","0","0","0","0","STM14_RS15410"
"prgI","SL1344_2853","0","0","0","0","STM14_RS15405"
"prgJ","SL1344_2852","0","0","0","0","STM14_RS15400"
"prgK","SL1344_2851","0","0","0","0","STM14_RS15395"
"pstA","SL1344_3822","0","0","0","0","STM14_RS20355"
"pstB","SL1344_3821","0","0","0","0","STM14_RS20350"
"pstC","SL1344_3823","0","0","0","0","STM14_RS20360"
"pstS","SL1344_3824","0","0","0","0","STM14_RS20365"
"purA","SL1344_4299","0","0","0","0","STM14_RS22910"
"rfbA","SL1344_2072","0","0","0","0","STM14_RS11680"
"rfbB","SL1344_2074","0","0","0","0","STM14_RS11690"
"rfbC","SL1344_2071","0","0","0","0","STM14_RS11675"
"rfbD","SL1344_2073","0","0","0","0","STM14_RS11685"
"rfbK","SL1344_2060","0","0","0","0","STM14_RS11620"
"rfbM","SL1344_2061","0","0","0","0","STM14_RS11625"
"rfbN","SL1344_2062","0","0","0","0","STM14_RS11630"
"rfbP","SL1344_2059","0","0","0","0","STM14_RS11615"
"rfbU","SL1344_2063","0","0","0","0","STM14_RS11635"
"rnd","SL1344_1745","0","0","0","0","STM14_RS09975"
"safA","SL1344_0295","0","0","0","0","safA"
"safB","SL1344_0296","0","0","0","0","STM14_RS02100"
"safC","SL1344_0297","0","0","0","0","STM14_RS02105"
"safD","SL1344_0298","0","0","0","0","STM14_RS02110"
"serA","SL1344_3038","0","0","0","0","STM14_RS16365"
"sinR","SL1344_3991","0","0","0","0","STM14_RS21275"
"sodA","SL1344_4004","0","0","0","0","STM14_RS21345"
"ssaM","SL1344_1347","0","0","0","0","STM14_RS07920"
"ssaN","SL1344_1349","0","0","0","0","STM14_RS07930"
"ssaO","SL1344_1350","0","0","0","0","STM14_RS07935"
"ssaP","SL1344_1351","0","0","0","0","STM14_RS07940"
"ssaQ","SL1344_1352","0","0","0","0","STM14_RS07945"
"ssaR","SL1344_1353","0","0","0","0","STM14_RS07950"
"ssaS","SL1344_1354","0","0","0","0","STM14_RS07955"
"ssaT","SL1344_1355","0","0","0","0","STM14_RS07960"
"ssaV","SL1344_1348","0","0","0","0","STM14_RS07925"
"sscB","SL1344_1337","0","0","0","0","STM14_RS07870"
"sseD","SL1344_1335","0","0","0","0","STM14_RS07860"
"sseE","SL1344_1336","0","0","0","0","STM14_RS07865"
"sseF","SL1344_1338","0","0","0","0","STM14_RS07875"
"stcB","SL1344_2128","0","0","0","0","STM14_RS11960"
"stcC","SL1344_2127","0","0","0","0","STM14_RS11955"
"stcD","SL1344_2126","0","0","0","0","STM14_RS11950"
"STM14_0359","SL1344_0301","0","0","0","0","STM14_RS02135"
"STM14_0398","SL1344_0336","0","0","0","0","STM14_RS02315"
"STM14_0400","SL1344_0338","0","0","0","0","STM14_RS02325"
"STM14_0401","SL1344_0339","0","0","0","0","STM14_RS02330"
"STM14_0402","SL1344_0340","0","0","0","0","STM14_RS02335"
"STM14_0404","SL1344_0341","0","0","0","0","STM14_RS02340"
"STM14_0405","SL1344_0342","0","0","0","0","STM14_RS02345"
"STM14_0885","SL1344_0738","0","0","0","0","STM14_RS04430"
"STM14_1290","SL1344_1067","0","0","0","0","STM14_RS06135"
"STM14_2105","SL1344_1672","0","0","0","0","STM14_RS09605"
"STM14_2756","SL1344_2206","0","0","0","0","STM14_RS12360"
"STM14_2757","SL1344_2207","0","0","0","0","STM14_RS12365"
"STM14_2759","SL1344_2209","0","0","0","0","STM14_RS12375"
"STM14_2760","SL1344_2210","0","0","0","0","STM14_RS12380"
"STM14_2761","SL1344_2211","0","0","0","0","STM14_RS12385"
"STM14_2762","SL1344_2212","0","0","0","0","STM14_RS12390"
"STM14_2763","SL1344_2213","0","0","0","0","STM14_RS12395"
"STM14_2765","SL1344_2214","0","0","0","0","STM14_RS12400"
"STM14_2807","SL1344_2242","0","0","0","0","STM14_RS12575"
"STM14_3500","SL1344_2880","0","0","0","0","STM14_RS15545"
"STM14_3501","SL1344_2881","0","0","0","0","STM14_RS15550"
"STM14_4725","SL1344_3886","0","0","0","0","STM14_RS20700"
"STM14_4741","SL1344_3895","0","0","0","0","STM14_RS20765"
"STM14_4742","SL1344_3896","0","0","0","0","STM14_RS20770"
"STM14_4743","SL1344_3897","0","0","0","0","STM14_RS20775"
"STM14_4745","SL1344_3899","0","0","0","0","STM14_RS20785"
"STM14_4880","SL1344_4006","0","0","0","0","STM14_RS21355"
"STM14_5299","SL1344_4345","0","0","0","0","STM14_RS23140"
"STM14_5300","SL1344_4346","0","0","0","0","STM14_RS23145"
"trkH","SL1344_3939","0","0","0","0","STM14_RS20985"
"truA","SL1344_2337","0","0","0","0","STM14_RS13055"
"udg","SL1344_2057","0","0","0","0","STM14_RS11605"
"usg","SL1344_2338","0","0","0","0","STM14_RS13060"
"wecD","SL1344_3883","0","0","0","0","STM14_RS20685"
"wecE","SL1344_3884","0","0","0","0","STM14_RS20690"
"wzxE","SL1344_3885","0","0","0","0","STM14_RS20695"
"wzzB","SL1344_2056","0","0","0","0","STM14_RS11600"
"yaeL","SL1344_0224","0","0","0","0","yaeL"
"yafV","SL1344_0304","0","0","0","0","STM14_RS02150"
"ybeJ","SL1344_0299","0","0","0","0","ybeJ"
"ychF","SL1344_1712","0","0","0","0","STM14_RS09810"
"ydaA","SL1344_1592","0","0","0","0","ydaA"
"ydiK","SL1344_1298","0","0","0","0","STM14_RS07675"
"ydiL","SL1344_1297","0","0","0","0","STM14_RS07670"
"ydiM","SL1344_1296","0","0","0","0","ydiM"
"ydiN","SL1344_1294","0","0","0","0","STM14_RS07660"
"yejM","SL1344_2205","0","0","0","0","STM14_RS12350"
"ygfA","SL1344_3037","0","0","0","0","STM14_RS16360"
"ygfB","SL1344_3035","0","0","0","0","STM14_RS16350"
"ygfE","SL1344_3036","0","0","0","0","ygfE"
"yibP","SL1344_3671","0","0","0","0","yibP"
"yifL","SL1344_3900","0","0","0","0","STM14_RS20790"
"yigZ","SL1344_3938","0","0","0","0","STM14_RS20980"
"yiiM","SL1344_4005","0","0","0","0","STM14_RS21350"
"ytfM","SL1344_4342","0","0","0","0","STM14_RS23125"
"ytfN","SL1344_4343","0","0","0","0","STM14_RS23130"
"ytfP","SL1344_4344","0","0","0","0","STM14_RS23135"
