"locus_tag","Molecule","FDR","logFC","gene_name","genefunc","COG","description","theme"
"DapZ","Chromosome",0.190095964924292,-1.07684973959977,"DapZ","-",NA,"no category","no theme"
"IstR-1,2","Chromosome",0.945291812687362,0.359074573332564,"IstR-1,2","-",NA,"no category","no theme"
"mgtC","Chromosome",0.464379993682238,-0.756463297447188,"mgtC","-","S","Function Unknown","Poorly characterised"
"ncRNA0002","Chromosome",0.616068434306799,-0.687513789964188,"ArcZ","non-coding",NA,"no category","no theme"
"ncRNA0007","Chromosome",0.481422906833986,-0.726914387606763,"CsrB","-","-","no category","no theme"
"ncRNA0008","Chromosome",0.542823616764617,-0.671283071168427,"CsrC","-","-","no category","no theme"
"ncRNA0028","Chromosome",0.503964290930191,0.800503259687713,"IsrC","non-coding",NA,"no category","no theme"
"ncRNA0032","Chromosome",0.970323665526161,0.131817029364903,"IsrG","non-coding",NA,"no category","no theme"
"ncRNA0035","Chromosome",0.790799160381339,0.446853210394367,"IsrI","-","-","no category","no theme"
"ncRNA0039","Chromosome",0.810405270258087,0.495102111979596,"IsrM","non-coding",NA,"no category","no theme"
"ncRNA0040","Chromosome",0.976630506327813,0.100044366657973,"IsrN","non-coding",NA,"no category","no theme"
"ncRNA0043","Chromosome",1,0.00424805253667225,"IsrQ","non-coding",NA,"no category","no theme"
"ncRNA0048","Chromosome",0.278759585402871,1.0625507077001,"MicC","non-coding",NA,"no category","no theme"
"ncRNA0067","Chromosome",0.942126190463283,-0.155704422037727,"RyfA","non-coding",NA,"no category","no theme"
"ncRNA0073","Chromosome",0.873159912429263,-0.284312240756947,"SgrS","non-coding",NA,"no category","no theme"
"ncRNA0081","Chromosome",0.485793096197086,-15,"SraF","non-coding",NA,"no category","no theme"
"ncRNA0089","Chromosome",0.900695790947995,-0.247010406773708,"SsrS","non-coding",NA,"no category","no theme"
"ncRNA0164","Chromosome",0.962704553728378,-0.116334305021971,"STnc440","non-coding",NA,"no category","no theme"
"ncRNA0167","Chromosome",0.917196047890508,-0.206696432951915,"STnc470","non-coding",NA,"no category","no theme"
"ncRNA0199","Chromosome",0.853366601264498,-0.31762285943113,"STnc780","non-coding",NA,"no category","no theme"
"ncRNA0207","Chromosome",0.942266057375502,0.199987989130423,"STnc880","non-coding",NA,"no category","no theme"
