"NGenes","Direction","PValue","FDR","path","genes","locus_tag","DEgenes","DElocus","GeneRatio","term","type"
11,"Attenuated",1.11835982276595e-75,2.05778207388935e-73,"'de Novo' IMP Biosynthetic Process","purK,purE,purU,purT,purF,purC,purM,purN,purG,purD,purH","SL1344_0526,SL1344_0527,SL1344_1687,SL1344_1817,SL1344_2331,SL1344_2450,SL1344_2462,SL1344_2463,SL1344_2527,SL1344_4114,SL1344_4115","purF,purD,purC,purM,purE,purG,purH,purK,purN","SL1344_2331,SL1344_4114,SL1344_2450,SL1344_2462,SL1344_0527,SL1344_2527,SL1344_4115,SL1344_0526,SL1344_2463",0.818181818181818,"GO:0006189","GO"
14,"Attenuated",6.03605780886266e-16,5.55317318415365e-14,"Arginine Biosynthetic Process","carA,carB,argDa,gabT,argA,argG,argR,argDb,argE,argC,argB,argH,SL1344_4395,argI","SL1344_0067,SL1344_0068,SL1344_1238,SL1344_2776,SL1344_2970,SL1344_3262,SL1344_3332,SL1344_3435,SL1344_4070,SL1344_4071,SL1344_4072,SL1344_4073,SL1344_4395,SL1344_4399","argG,carB,argH,carA,argI,argE,argA","SL1344_3262,SL1344_0068,SL1344_4073,SL1344_0067,SL1344_4399,SL1344_4070,SL1344_2970",0.5,"GO:0006526","GO"
11,"Attenuated",1.33007490974226e-15,8.15779277975254e-14,"UMP Biosynthetic Process","carA,carB,pyrD,pyrC,pyrF,udk,upp,prkB,pyrE,udp,pyrB","SL1344_0067,SL1344_0068,SL1344_0998,SL1344_1100,SL1344_1639,SL1344_2099,SL1344_2461,SL1344_3431,SL1344_3699,SL1344_3922,SL1344_4391","carB,pyrC,carA,pyrF,pyrE,pyrD,pyrB","SL1344_0068,SL1344_1100,SL1344_0067,SL1344_1639,SL1344_3699,SL1344_0998,SL1344_4391",0.636363636363636,"GO:0006222","GO"
12,"Attenuated",6.78346004217181e-14,3.12039161939903e-12,"Pyrimidine Ribonucleoside Biosynthetic Process","carA,carB,pyrD,pyrC,pyrF,udk,upp,ndk,prkB,pyrE,udp,pyrB","SL1344_0067,SL1344_0068,SL1344_0998,SL1344_1100,SL1344_1639,SL1344_2099,SL1344_2461,SL1344_2488,SL1344_3431,SL1344_3699,SL1344_3922,SL1344_4391","carB,pyrC,carA,pyrF,pyrE,pyrD,pyrB","SL1344_0068,SL1344_1100,SL1344_0067,SL1344_1639,SL1344_3699,SL1344_0998,SL1344_4391",0.583333333333333,"GO:0046132","GO"
75,"Attenuated",1.96188047183647e-11,7.21972013635823e-10,"Purine Metabolism","apaH,guaC,hpt,dgt,gpt,yaiE,phnW,apt,dnaX,gsk,ushA,allA,allB,ylbA,allC,allD,arcC,purK,purE,holA,rihA,pgm,SL1344_1036,pykF,add,holE,purT,pykA,amn,purF,flhAb,yfeJ,purC,purM,purN,ppx,guaA,guaB,ndk,purG,nrdE,nrdF,surE,cysC,cysN,cysD,mazG,relA,ygdH,SL1344_3057,yggV,cpdA,nudF,pnp,nudE,yrfG,rpoZ,spoT,gppA,cyaA,polA,rpoB,rpoC,purD,purH,purA,cpdB,nrdD,SL1344_4396,yjjG,deoB,deoD,SL1344_P1_0042,SL1344_P1_0058,yacC","SL1344_0089,SL1344_0141,SL1344_0171,SL1344_0209,SL1344_0313,SL1344_0386,SL1344_0425,SL1344_0476,SL1344_0477,SL1344_0484,SL1344_0487,SL1344_0508,SL1344_0516,SL1344_0519,SL1344_0520,SL1344_0521,SL1344_0525,SL1344_0526,SL1344_0527,SL1344_0634,SL1344_0650,SL1344_0680,SL1344_1036,SL1344_1312,SL1344_1395,SL1344_1810,SL1344_1817,SL1344_1822,SL1344_1986,SL1344_2331,SL1344_2385,SL1344_2400,SL1344_2450,SL1344_2462,SL1344_2463,SL1344_2465,SL1344_2471,SL1344_2472,SL1344_2488,SL1344_2527,SL1344_2792,SL1344_2793,SL1344_2906,SL1344_2912,SL1344_2913,SL1344_2914,SL1344_2933,SL1344_2937,SL1344_2949,SL1344_3057,SL1344_3078,SL1344_3157,SL1344_3159,SL1344_3255,SL1344_3461,SL1344_3463,SL1344_3707,SL1344_3708,SL1344_3873,SL1344_3894,SL1344_3947,SL1344_4092,SL1344_4093,SL1344_4114,SL1344_4115,SL1344_4299,SL1344_4336,SL1344_4382,SL1344_4396,SL1344_4487,SL1344_4496,SL1344_4497,SL1344_P1_0042,SL1344_P1_0058,SL1344_P2_0005","purF,guaB,purD,purC,purM,purE,purG,cpdA,purH,rpoC,apaH,spoT,guaA,polA,purA,purK,purN,pnp,rpoZ,relA","SL1344_2331,SL1344_2472,SL1344_4114,SL1344_2450,SL1344_2462,SL1344_0527,SL1344_2527,SL1344_3157,SL1344_4115,SL1344_4093,SL1344_0089,SL1344_3708,SL1344_2471,SL1344_3947,SL1344_4299,SL1344_0526,SL1344_2463,SL1344_3255,SL1344_3707,SL1344_2937",0.266666666666667,"map00230","KEGG"
19,"Attenuated",1.05840860421048e-09,3.24578638624546e-08,"Lipopolysaccharide Core Region Biosynthetic Process","yaeD,gmhA,ybiP,galU,rfaE,yhjW,rfaD,rfaF,rfaC,rfaZ,rfaY,rfaJ,rfaI,rfaB,rfaP,rfaG,rfaQ,yijP,yjdB","SL1344_0249,SL1344_0306,SL1344_0809,SL1344_1683,SL1344_3173,SL1344_3600,SL1344_3676,SL1344_3677,SL1344_3678,SL1344_3681,SL1344_3682,SL1344_3683,SL1344_3684,SL1344_3685,SL1344_3687,SL1344_3688,SL1344_3689,SL1344_4068,SL1344_4230","rfaC,rfaE,rfaP,gmhA,rfaF,rfaD,galU,rfaG,yaeD","SL1344_3678,SL1344_3173,SL1344_3687,SL1344_0306,SL1344_3677,SL1344_3676,SL1344_1683,SL1344_3688,SL1344_0249",0.473684210526316,"GO:0009244","GO"
34,"Attenuated",4.96372043040618e-08,1.3047493702782e-06,"Alanine, Aspartate And Glutamate Metabolism","carA,carB,yafV,phnW,asnB,ybiK,aspC,putA,ansA,gdhA,yneI,yneH,SL1344_1723,yfbQ,purF,aegA,nadB,gabD,gabT,ygeA,ansB,argG,gltB,gltD,SL1344_3563,asnA,glnA,argH,aspA,purA,pyrI,pyrB,SL1344_4441,SL1344_4450","SL1344_0067,SL1344_0068,SL1344_0304,SL1344_0425,SL1344_0662,SL1344_0823,SL1344_0935,SL1344_1062,SL1344_1229,SL1344_1234,SL1344_1454,SL1344_1455,SL1344_1723,SL1344_2300,SL1344_2331,SL1344_2442,SL1344_2605,SL1344_2775,SL1344_2776,SL1344_2993,SL1344_3081,SL1344_3262,SL1344_3302,SL1344_3303,SL1344_3563,SL1344_3844,SL1344_3954,SL1344_4073,SL1344_4263,SL1344_4299,SL1344_4390,SL1344_4391,SL1344_4441,SL1344_4450","argG,carB,purF,argH,carA,asnA,pyrB,purA,aspC,glnA","SL1344_3262,SL1344_0068,SL1344_2331,SL1344_4073,SL1344_0067,SL1344_3844,SL1344_4391,SL1344_4299,SL1344_0935,SL1344_3954",0.294117647058824,"map00250","KEGG"
27,"Attenuated",2.94733910054138e-07,6.77887993124517e-06,"Lipopolysaccharide Biosynthesis","lpxC,yaeD,gmhA,lpxH,ybiP,kdsA,lpxP,rfaE,yraO,yrbH,yrbI,yhjW,rfaD,rfaF,rfaC,rfaL,rfaK,rfaZ,rfaY,rfaJ,rfaI,rfaB,rfaP,rfaG,rfaQ,yijP,yjdB","SL1344_0134,SL1344_0249,SL1344_0306,SL1344_0528,SL1344_0809,SL1344_1700,SL1344_2369,SL1344_3173,SL1344_3239,SL1344_3287,SL1344_3288,SL1344_3600,SL1344_3676,SL1344_3677,SL1344_3678,SL1344_3679,SL1344_3680,SL1344_3681,SL1344_3682,SL1344_3683,SL1344_3684,SL1344_3685,SL1344_3687,SL1344_3688,SL1344_3689,SL1344_4068,SL1344_4230","rfaC,rfaE,rfaP,gmhA,rfaF,rfaD,rfaK,rfaG,rfaL,yaeD","SL1344_3678,SL1344_3173,SL1344_3687,SL1344_0306,SL1344_3677,SL1344_3676,SL1344_3680,SL1344_3688,SL1344_3679,SL1344_0249",0.37037037037037,"map00540","KEGG"
23,"Attenuated",1.28832092875185e-06,2.63390056544824e-05,"Homologous Recombination","priC,dnaX,recR,holA,holE,ruvB,ruvA,ruvC,recO,recA,recD,recB,recC,recJ,recG,recF,polA,priA,ssbB,SL1344_P1_0042,SL1344_P1_0058,yacC,ssb","SL1344_0474,SL1344_0477,SL1344_0479,SL1344_0634,SL1344_1810,SL1344_1828,SL1344_1829,SL1344_1833,SL1344_2541,SL1344_2809,SL1344_2971,SL1344_2972,SL1344_2974,SL1344_3018,SL1344_3710,SL1344_3803,SL1344_3947,SL1344_4044,SL1344_P1_0041,SL1344_P1_0042,SL1344_P1_0058,SL1344_P2_0005,SL1344_P2_0035","recD,recG,recJ,polA,recA,ruvA,ruvB,recC,recB,ruvC","SL1344_2971,SL1344_3710,SL1344_3018,SL1344_3947,SL1344_2809,SL1344_1829,SL1344_1828,SL1344_2974,SL1344_2972,SL1344_1833",0.434782608695652,"map03440","KEGG"
11,"Attenuated",1.44923711378332e-06,2.6665962893613e-05,"Chorismate Biosynthetic Process","aroL,aroG,aroA,aroH,aroD,aroE,aroC,aroF,SL1344_3368,aroB,aroK","SL1344_0383,SL1344_0737,SL1344_0915,SL1344_1281,SL1344_1292,SL1344_1293,SL1344_2353,SL1344_2628,SL1344_3368,SL1344_3453,SL1344_3454","aroC,SL1344_3368,aroA,aroD,aroB,aroK,aroH","SL1344_2353,SL1344_3368,SL1344_0915,SL1344_1292,SL1344_3453,SL1344_3454,SL1344_1281",0.636363636363636,"GO:0009423","GO"
