"CpxR","RpoE","RpoS","RcsB","Fur","ArcA","FNR","Lrp","OxyR","OmpR","PmrAB","SlyA","CRP","PhoP","CS54","Oaf","SLP105","SLP203","SLP272","SLP281","SLP285","SLP289","SLP443","SPI-1","SPI-2","SPI-3","SPI-4","SPI-6","SPI-9","SPI-12","SPI-13","SPI-16"
"SL1344_4009","SL1344_2604","SL1344_4310","SL1344_1637","SL1344_p1_0062","SL1344_p1_0086","SL1344_0069","SL1344_3861","SL1344_0806","SL1344_1714","SL1344_4068","SL1344_1376","SL1344_3363","SL1344_0616","SL1344_2474","SL1344_2207","SL1344_0943","SL1344_1928","SL1344_2547","SL1344_2632","SL1344_2666","SL1344_2713","SL1344_4130","SL1344_1784","SL1344_1628","SL1344_3718","SL1344_4194","SL1344_0261","SL1344_2662","SL1344_2218","SL1344_3092","SL1344_0547"
"SL1344_0210","ncRNA0047","SL1344_3645","ymgg","SL1344_0216","SL1344_p1_0033","SL1344_0615","SL1344_3861","SL1344_4056","sl1469","SL1344_2266","SL1344_0417","SL1344_1680","SL1344_0879","SL1344_2475","SL1344_2208","SL1344_0944","SL1344_1929","SL1344_2548","SL1344_2633","SL1344_2667","SL1344_2714","SL1344_4131","SL1344_2043","SL1344_2217","SL1344_3720","SL1344_4195","SL1344_0262","SL1344_2663","SL1344_2219","SL1344_3093","SL1344_0548"
"SL1344_3945","ncRNA0062","appy","ymgd","SL1344_0217","SL1344_0001","SL1344_0778","SL1344_0001","SL1344_0848","SL1344_1923","SL1344_2267","SL1344_0418","SL1344_4525","SL1344_1033","SL1344_2477","SL1344_2209","SL1344_0945","SL1344_1930","SL1344_2549","SL1344_2634","SL1344_2668","SL1344_2715","SL1344_4132","SL1344_2674","SL1344_1325","SL1344_3722","SL1344_4196","SL1344_0263","SL1344_2664","SL1344_2220","SL1344_3094","SL1344_0549"
"SL1344_1152","SL1344_1087","appa","SL1344_4489","SL1344_0401","SL1344_0002","SL1344_0779","SL1344_0002","SL1344_0597","SL1344_2237","SL1344_2268","SL1344_2237","SL1344_3332","SL1344_1169","SL1344_2478","SL1344_2210","SL1344_0946","SL1344_1931","SL1344_2550","SL1344_2635","SL1344_2669","SL1344_2716","SL1344_4133","SL1344_2845","SL1344_1326","SL1344_3723","SL1344_4197","SL1344_0264","","SL1344_2221","SL1344_3095",""
"SL1344_1814","SL1344_4172","SL1344_0440","SL1344_0459","SL1344_0409","SL1344_0069","SL1344_0780","SL1344_0003","SL1344_2613","SL1344_2846","SL1344_2269","SL1344_1888","SL1344_4024","SL1344_1183","SL1344_2479","SL1344_2211","SL1344_0947","SL1344_1932","SL1344_2551","SL1344_2636","SL1344_2670","SL1344_2717","SL1344_4134","SL1344_2847","SL1344_1333","SL1344_3724","SL1344_4198","SL1344_0265","","","SL1344_3096",""
"SL1344_1865","SL1344_0210","cbda","ivy","SL1344_0433","ffs","SL1344_0781","SL1344_0004","SL1344_0596","SL1344_3469","pqa","SL1344_2762","SL1344_4025","SL1344_1184","SL1344_2480","SL1344_2212","SL1344_0948","SL1344_1933","SL1344_2552","SL1344_2637","SL1344_2671","SL1344_2718","SL1344_4135","SL1344_2849","SL1344_1337","SL1344_3725","SL1344_4199","SL1344_0266","","","SL1344_3097",""
"SL1344_1025","SL1344_3082","cbdb","SL1344_1149","SL1344_0434","SL1344_0638","SL1344_0782","SL1344_0131","SL1344_0675","SL1344_0588","SL1344_2271","SL1344_1184","SL1344_4027","SL1344_1325","","SL1344_2213","SL1344_0949","SL1344_1934","SL1344_2552A","SL1344_2638","SL1344_2672","SL1344_2719","SL1344_4136","SL1344_2850","SL1344_1338","SL1344_3726","","SL1344_0267","","","",""
"SL1344_3199","yfjo","SL1344_1051","SL1344_2301","SL1344_0436","SL1344_0681","SL1344_0876","SL1344_0132","SL1344_3562","SL1344_0652","SL1344_2272","SL1344_1531","euti","SL1344_1377","","SL1344_2214","SL1344_0950","SL1344_1935","SL1344_2553","SL1344_2639","SL1344_2673","SL1344_2720","SL1344_4137","SL1344_2855","SL1344_1341","SL1344_3727","","SL1344_0268","","","",""
"SL1344_4285","SL1344_2657","SL1344_1359","yrai","SL1344_0437","SL1344_0682","SL1344_0875","SL1344_0133","SL1344_0595","SL1344_0654","SL1344_4230","","ccha","SL1344_0808","","SL1344_2215","SL1344_0951","SL1344_1936","SL1344_2554","SL1344_2640","SL1344_2674","SL1344_2721","SL1344_4138","SL1344_2856","SL1344_1342","SL1344_3727A","","SL1344_0270","","","",""
"SL1344_1243","SL1344_3533","csia","yraj","SL1344_0573","SL1344_0683","SL1344_0902","SL1344_0312","flu","SL1344_0669","SL1344_2265","","ypje","SL1344_1405","","SL1344_2216","SL1344_0952","SL1344_1937","SL1344_2555","SL1344_2641","SL1344_2675","SL1344_2722","SL1344_4139","SL1344_2857","SL1344_1347","SL1344_3728","","SL1344_0271","","","",""
"SL1344_3439","SL1344_2603","csib","yrak","SL1344_0574","aSTM0907","SL1344_0903","ykge","SL1344_4481","SL1344_0714","pmrr","","SL1344_2652","pcgl","","","SL1344_0953","SL1344_1938","SL1344_2556","SL1344_2642","SL1344_2676","SL1344_2723","SL1344_4140","SL1344_2858","SL1344_1334","SL1344_3729","","SL1344_0272","","","",""
"SL1344_4008","SL1344_0443","csic","SL1344_0700","SL1344_0583","SL1344_0888","SL1344_0904","ykgf","SL1344_0482","SL1344_0715","SL1344_2057","","ygbd","SL1344_1531","","","SL1344_0954","SL1344_1939","SL1344_2557","SL1344_2643","SL1344_2677","","SL1344_4141","SL1344_2860","SL1344_1350","","","SL1344_0273","","","",""
"SL1344_0936","SL1344_2410","SL1344_2773","SL1344_1266","SL1344_0720","SL1344_1067","SL1344_0911","ykgg","SL1344_1303","SL1344_0716","SL1344_0577","","SL1344_3123","SL1344_1799","","","SL1344_0955","SL1344_1940","SL1344_2558","SL1344_2644","SL1344_2678","","SL1344_4142","SL1344_2861","SL1344_1351","","","SL1344_0274","","","",""
"SL1344_2604","SL1344_3176","SL1344_2515","SL1344_2057","SL1344_0749","SL1344_1068","SL1344_0910","SL1344_0394","SL1344_1304","sl1069","cld","","SL1344_3122","SL1344_2273","","","SL1344_0956","SL1344_1941","SL1344_2559","SL1344_2645","SL1344_2679","","SL1344_4143","SL1344_2862","SL1344_1352","","","SL1344_0275","","","",""
"efeu","SL1344_3578","csif","cld","SL1344_0917","SL1344_1069","SL1344_1693","SL1344_0395","SL1344_1305","SL1344_1693","SL1344_1204","","SL1344_3121","SL1344_2363","","","SL1344_0957","SL1344_1942","SL1344_2560","","SL1344_2680","","SL1344_4144","SL1344_2863","SL1344_1356","","","SL1344_0276","","","",""
"SL1344_3454","yaet","SL1344_1082","SL1344_2362","SL1344_0951","SL1344_1070","SL1344_1692","SL1344_1358","SL1344_1306","SL1344_1731","SL1344_4495","","SL1344_3120","SL1344_2764","","","SL1344_0958","SL1344_1943","SL1344_2561","","SL1344_2681","","SL1344_4145","SL1344_2864","SL1344_1561","","","SL1344_0277","","","",""
"SL1344_0372","SL1344_3240","SL1344_1079","SL1344_4176","SL1344_1071","SL1344_1071","SL1344_1691","SL1344_0412","SL1344_1307","SL1344_2167","SL1344_3795","","SL1344_3119","SL1344_2765","","","SL1344_0959","SL1344_1944","SL1344_2562","","SL1344_2682","","SL1344_4146","SL1344_2865","SL1344_0909","","","SL1344_0278","","","",""
"SL1344_1094","SL1344_2356","SL1344_1078","SL1344_1683","SL1344_1280","SL1344_1075","SL1344_1690","SL1344_0736","SL1344_1308","SL1344_2228","SL1344_0841","","SL1344_3118","SL1344_3729","","","SL1344_0960","SL1344_1945","SL1344_2563","","SL1344_2683","","SL1344_4147","SL1344_2866","SL1344_1332","","","SL1344_0279","","","",""
"SL1344_1095","yeci","SL1344_1077","SL1344_2095","SL1344_1385","SL1344_1076","SL1344_1689","SL1344_0787","SL1344_0005","SL1344_2230","SL1344_4228","","yigu","SL1344_4387","","","SL1344_0961","SL1344_1946","SL1344_2564","","SL1344_2684","","SL1344_4148","SL1344_2867","SL1344_1343","","","SL1344_0280","","","",""
"SL1344_1262","SL1344_3420","SL1344_1081","SL1344_2094","SL1344_1517","SL1344_1108","SL1344_1500","SL1344_0788","SL1344_0384","SL1344_2231","SL1344_4229","","yigw","ncRNA0046","","","SL1344_0962","SL1344_1947","SL1344_2565","","SL1344_2685","","SL1344_4149","SL1344_2868","SL1344_1331","","","SL1344_0281","","","",""
"yfjn","SL1344_2482","SL1344_1080","SL1344_2093","SL1344_1577","SL1344_1109","SL1344_1499","SL1344_0789","SL1344_0847","SL1344_2358","SL1344_2273","","cchb","","","","SL1344_0963","SL1344_1948","SL1344_2566","","SL1344_2686","","SL1344_4150","SL1344_2869","SL1344_1346","","","SL1344_0282","","","",""
"SL1344_4068","SL1344_3178","SL1344_0806","SL1344_2092","SL1344_1582","SL1344_1120","SL1344_1498","SL1344_0799","ylja","SL1344_2488","SL1344_1561","","SL1344_2426","","","","SL1344_0964","SL1344_1949","SL1344_2567","","SL1344_2687","","SL1344_4151","SL1344_2870","SL1344_2763","","","SL1344_0283","","","",""
"SL1344_1533","ddg","f253a","SL1344_2091","SL1344_1668","SL1344_1121","flizy","SL1344_0854","ncRNA0053","SL1344_2769","SL1344_1189","","SL1344_2425","","","","SL1344_0965","SL1344_1950","SL1344_2568","","SL1344_2688","","SL1344_4152","SL1344_2871","SL1344_1327","","","SL1344_0284","","","",""
"SL1344_1430","yiis","fica","yaax","SL1344_1682","SL1344_1235","SL1344_2253","SL1344_0855","taub","SL1344_2997","SL1344_3922","","SL1344_2424","","","","SL1344_0965A","SL1344_1951","SL1344_2569","","SL1344_2689","","SL1344_4153","SL1344_2872","SL1344_1161","","","SL1344_0285","","","",""
"SL1344_2780","SL1344_1710","frd","SL1344_2090","SL1344_1723","SL1344_1236","SL1344_2254","SL1344_0856","SL1344_1809","SL1344_3190","SL1344_3673","","SL1344_1247","","","","SL1344_0966","SL1344_1952","SL1344_2570","","SL1344_2690","","SL1344_4154","SL1344_2873","SL1344_1559","","","SL1344_0286","","","",""
"SL1344_4339","SL1344_3716","SL1344_0131","SL1344_2089","SL1344_2163","SL1344_1259","SL1344_2255","SL1344_0857","SL1344_0717","SL1344_3198","SL1344_3297","","SL1344_1248","","","","SL1344_0967","SL1344_1953","SL1344_2571","","SL1344_2691","","SL1344_4155","SL1344_2874","SL1344_P1_0068","","","SL1344_0286A","","","",""
"SL1344_3579","SL1344_0808","SL1344_0133","SL1344_2088","SL1344_2176","SL1344_1851","SL1344_2610","SL1344_0864","SL1344_3127","SL1344_3935","","","SL1344_1249","","","","SL1344_0968","SL1344_1954","SL1344_2572","","SL1344_2692","","SL1344_4156","SL1344_2875","SL1344_2546","","","SL1344_0286B","","","",""
