Category,Description,Theme
A ,RNA processing and modification ,Information storage and processing
B ,Chromatin Structure and dynamics ,Information storage and processing
C ,Energy production and conversion ,Metabolism
D ,"Cell cycle control, cell division, chromosome partitioning",Cellular processes and signaling
E ,Amino acid transport and metabolism,Metabolism
F ,Nucleotide transport and metabolism,Metabolism
G ,Carbohydrate transport and metabolism,Metabolism
H ,Coenzyme transport and metabolism,Metabolism
I ,Lipid transport and metabolism,Metabolism
J ,"Translation, ribosomal structure and biogenesis",Information storage and processing
K ,Transcription ,Information storage and processing
L ,"Replication, recombination and repair ",Information storage and processing
M ,Cell wall/membrane/envelop biogenesis ,Cellular processes and signaling
N ,Cell motility ,Cellular processes and signaling
O ,"Post-translational modification, protein turnover, and chaperones",Cellular processes and signaling
P ,Inorganic ion transport and metabolism ,Metabolism
Q ,"Secondary metabolites biosynthesis, transport, and catabolism",Metabolism
R ,General function prediction only,Poorly characterised
S ,Function Unknown ,Poorly characterised
T ,Signal transduction mechanisms,Cellular processes and signaling
U ,"Intracellular trafficking, secretion, and vesicular transport",Cellular processes and signaling
V,Defense mechanisms,Cellular processes and signaling
W,Extracellular structures,Cellular processes and signaling
Y ,Nuclear structure ,Cellular processes and signaling
Z ,Cytoskeleton ,
