,,,Replicate_1,,,Replicate_2,,,Replicate_3,
Gene ID,Gene,Product,Ins_count,read_count,,Ins_count,read_count,,Ins_count,read_count
STM14_0001,thrL,thr operon leader peptide,0,0,,1,2,,0,0
STM14_0002,thrA,bifunctional aspartokinase I/homeserine dehydrogenase I,27,1926,,27,1976,,29,1916
STM14_0003,thrB,homoserine kinase,10,861,,10,767,,10,823
STM14_0004,thrC,threonine synthase,16,833,,15,795,,16,786
STM14_0005,yaaA,hypothetical protein,12,1064,,11,907,,12,1005
STM14_0006,yaaJ,putative alanine/glycine transport protein,26,2270,,25,2281,,27,2256
STM14_0007,talB,transaldolase B,16,821,,16,809,,15,760
STM14_0008,mogA,molybdenum cofactor biosynthesis protein,10,590,,9,575,,9,542
STM14_0009,yaaH,hypothetical protein,7,428,,7,420,,7,374
STM14_0010,htgA,hypothetical protein,10,396,,11,313,,9,340
STM14_0011,yaaI,hypothetical protein,6,348,,6,350,,5,340
STM14_0012,-,hypothetical protein,3,245,,5,228,,5,209
STM14_0013,dnaK,molecular chaperone DnaK,20,319,,16,363,,20,216
STM14_0014,dnaJ,chaperone protein DnaJ,14,440,,12,465,,15,439
STM14_0015,-,hypothetical protein,1,13,,1,6,,1,6
STM14_0016,-,putative transcriptional regulator,11,426,,11,418,,11,439
STM14_0017,-,putative bacteriophage protein,1,9,,1,2,,1,4
STM14_0018,-,hypothetical protein,12,1068,,13,1283,,12,1169
STM14_0019,-,hypothetical protein,1,94,,1,96,,3,66
STM14_0020,-,hypothetical protein,1,5,,1,17,,1,3
STM14_0021,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0022,-,putative exochitinase,32,2238,,33,1965,,34,2052
STM14_0023,-,putative hydroxymethyltransferase,54,3023,,51,3036,,55,3050
STM14_0024,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0025,-,putative cytoplasmic protein,11,497,,12,488,,11,415
STM14_0026,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0027,-,hypothetical protein,1,183,,1,184,,1,228
STM14_0028,bcfA,fimbrial subunit,7,215,,7,191,,7,188
STM14_0029,bcfB,fimbrial chaparone,23,1514,,20,1371,,23,1377
STM14_0030,bcfC,fimbrial usher,59,3450,,59,3359,,62,3603
STM14_0031,bcfD,fimbrial subunit,27,1383,,26,1346,,29,1444
STM14_0032,bcfE,fimbrial subunit,9,530,,9,475,,9,502
STM14_0033,bcfF,fimbrial subunit,7,506,,7,445,,7,482
STM14_0034,bcfG,fimbrial chaparone,13,879,,14,950,,15,868
STM14_0035,bcfH,putative thiol-disulfide isomerase,12,903,,13,927,,12,948
STM14_0036,-,hypothetical protein,4,710,,4,636,,4,753
STM14_0037,-,putative transcriptional regulator,2,173,,2,125,,2,165
STM14_0038,-,putative transcriptional regulator,5,323,,6,232,,5,263
STM14_0039,-,putative transcriptional regulator,3,153,,3,158,,4,182
STM14_0040,-,hypothetical protein,0,0,,1,4,,1,9
STM14_0041,-,putative arylsulfatase,47,1836,,44,1963,,47,2012
STM14_0042,-,putative 5'-nucleotidase,34,2754,,35,3051,,34,2840
STM14_0043,-,putative outer membrane/exported protein,13,561,,14,641,,15,576
