# s1480_old_locus-2.fa,SL1344_combined.fasta,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
STM14_0002,SL1344_0002,,,,
STM14_0003,SL1344_0003,0,4549,0,4549
STM14_0004,SL1344_0004,0,1718,0,1718
STM14_0005,SL1344_0005,0,2377,0,2377
STM14_0006,SL1344_0006,0,1430,0,1430
STM14_0007,SL1344_0007,0,2643,0,2643
STM14_0008,SL1344_0008,0,1762,0,1762
STM14_0009,SL1344_0009,0,1092,0,1092
STM14_0010,SL1344_0010,0,1048,0,1048
STM14_0011,SL1344_0011,0,1319,0,1319
STM14_0013,SL1344_0012,0,749,0,749
STM14_0014,SL1344_0013,0,3535,0,3535
STM14_0016,SL1344_0014,0,2106,0,2106
STM14_0017,SL1344_0015,0,1751,0,1751
STM14_0018,SL1344_0016,0,638,0,638
STM14_0019,SL1344_0017,0,987,0,987
STM14_0022,SL1344_0018,0,815,0,815
STM14_0023,SL1344_0019,0,3480,0,3480
STM14_0025,SL1344_0020,0,5535,0,5535
STM14_0028,SL1344_0021,0,1303,0,1303
STM14_0029,SL1344_0022,0,1003,0,1003
STM14_0030,SL1344_0023,0,1264,0,1264
STM14_0031,SL1344_0024,0,4843,0,4843
STM14_0032,SL1344_0025,0,1862,0,1862
STM14_0033,SL1344_0026,0,1009,0,1009
STM14_0034,SL1344_0027,0,959,0,959
STM14_0035,SL1344_0028,0,1303,0,1303
STM14_0036,SL1344_0029,0,1563,0,1563
STM14_0037,SL1344_0030,4.36E-152,532,4.78E-152,532
STM14_0038,SL1344_0031,0,832,0,832
STM14_0039,SL1344_0032,0,1857,0,1857
STM14_0041,SL1344_0033,0,815,0,815
STM14_0042,SL1344_0034,0,3175,0,3175
STM14_0043,SL1344_0035,0,2898,0,2898
STM14_0044,SL1344_0036,0,1408,0,1408
STM14_0045,SL1344_0037,0,2760,0,2760
STM14_0046,SL1344_0038,0,2200,0,2200
STM14_0047,SL1344_0039,0,2311,0,2311
STM14_0048,SL1344_0040,0,3169,0,3169
STM14_0049,SL1344_0041,0,2156,0,2156
STM14_0050,SL1344_0042,0,1657,0,1657
STM14_0051,SL1344_0043,0,3768,0,3768
STM14_0052,SL1344_0044,0,2538,0,2538
STM14_0053,SL1344_0045,8.73E-139,488,8.26E-139,488
STM14_0054,SL1344_0046,3.39E-112,399,3.19E-112,399
STM14_0055,SL1344_0047,0,1735,0,1735
STM14_0056,SL1344_0048,0,5230,0,5230
STM14_0058,SL1344_0049,0,926,0,926
STM14_0059,SL1344_0050,0,832,0,832
STM14_0060,SL1344_0051,0,1757,0,1757
STM14_0061,SL1344_0052,0,2222,0,2222
STM14_0062,SL1344_0053,0,1701,0,1701
STM14_0063,SL1344_0054,0,1269,0,1269
STM14_0064,SL1344_0055,0,2992,0,2992
STM14_0064,SL1344_0745,0,2405,0,2405
STM14_0065,SL1344_0056,0,2316,0,2316
STM14_0065,SL1344_0744,0,3081,0,3081
STM14_0066,SL1344_0057,0,3070,0,3070
STM14_0067,SL1344_0058,1.73E-125,444,1.63E-125,444
STM14_0069,SL1344_0059,0,2477,0,2477
STM14_0070,SL1344_0060,0,1914,0,1914
STM14_0071,SL1344_0061,2.06E-155,544,1.95E-155,544
STM14_0072,SL1344_0062,0,1607,0,1607
STM14_0073,SL1344_0063,0,2809,0,2809
STM14_0074,SL1344_0064,0,1020,0,1020
STM14_0075,SL1344_0065,0,1652,0,1652
STM14_0077,SL1344_0067,0,1519,0,1519
