Node_1_oma_id,Node_1_gene_name,Node_1_old_locus_tag,Node_1_new_locus_tag,Node_1_new_kegg_id,Node_2_oma_id,Node_2_gene_name,Node_2_old_locus_tag,Node_2_new_locus_tag,Node_2_new_kegg_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Int_source,Strain,Layer,MI-score,Interaction_detection_method
SALTS00565,SL1344_0568,SL1344_0568,SL1344_RS02930,-,SALTS02630,SL1344_2642,SL1344_2642,SL1344_RS13770,-,OMA03830,OMA04331,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00889,lrp,SL1344_0897,SL1344_RS04660,-,SALTS02630,SL1344_2642,SL1344_2642,SL1344_RS13770,-,OMA04295,OMA04331,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01263,ihfA,SL1344_1273,SL1344_RS06655,-,SALTS02054,SL1344_2066,SL1344_2066,SL1344_RS10745,sey:SL1344_2066,OMA05341,OMA02383,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04366,arcA,SL1344_4397,SL1344_RS22915,sey:SL1344_4397,SALTS04333,iolI2,SL1344_4365,SL1344_RS22755,-,OMA01319,OMA02798,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01263,ihfA,SL1344_1273,SL1344_RS06655,-,SALTS03595,SL1344_3619,SL1344_3619,SL1344_RS18830,-,OMA05341,OMA04365,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04366,arcA,SL1344_4397,SL1344_RS22915,sey:SL1344_4397,SALTS01547,steB,SL1344_1559,SL1344_RS26650,-,OMA01319,OMA04707,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS01547,steB,SL1344_1559,SL1344_RS26650,-,OMA03507,OMA04707,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03338,fis,SL1344_3358,SL1344_RS17485,-,SALTS00065,SALTS_Chromosome.66,SALTS_Chromosome.66,SALTS_Chromosome.66,-,OMA05327,OMA05063,Exp(HT),Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS01850,SL1344_1864,SL1344_1864,SL1344_RS09660,-,OMA03507,OMA03997,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS01851,SL1344_1865,SL1344_1865,SL1344_RS09665,-,OMA03507,OMA04212,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
