seq,start,end,strand,locus_tag,com_id,type,description,locus_tag,WT_INPUT_R1,WT_INPUT_R2,WT_INPUT_R3,WT_OUTPUT_R1,WT_OUTPUT_R2,WT_OUTPUT_R3,WT_INPUT_R4,WT_OUTPUT_R4,WT_INPUT_R5,WT_OUTPUT_R5,WT_INPUT_R6,WT_OUTPUT_R6,WT_INPUT_R7,WT_OUTPUT_R7,WT_INPUT_R8,WT_OUTPUT_R8,WT_INPUT_R9,WT_OUTPUT_R9
FQ312003.1,3985658,3986858,1,ncRNA0001,AmgR,sRNA,non-coding,ncRNA0001,6984,6821,5577,6043,3150,4057,5232,3549,4684,4426,5700,2079,5253,3878,6434,4079,5764,3339
FQ312003.1,3511799,3511918,1,ncRNA0002,ArcZ,sRNA,non-coding,ncRNA0002,224,172,84,152,71,78,83,84,73,74,79,27,63,72,64,72,38,74
FQ312003.1,3636871,3636955,-1,ncRNA0004,CrpT,sRNA,non-coding,ncRNA0004,43,31,33,39,16,18,25,23,26,31,21,26,33,35,44,37,48,18
FQ312003.1,3099170,3100233,-1,ncRNA0005,crRNA1,sRNA,non-coding,ncRNA0005,501,385,317,407,185,271,345,255,261,207,380,173,249,234,297,292,458,323
FQ312003.1,3116270,3117792,-1,ncRNA0006,crRNA2,sRNA,non-coding,ncRNA0006,1340,1144,928,1048,571,679,839,805,741,773,974,365,979,711,1074,826,1093,717
FQ312003.1,3138160,3138522,-1,ncRNA0007,CsrB,sRNA,non-coding,ncRNA0007,112,107,91,96,64,100,88,76,87,76,117,58,169,83,126,107,93,87
FQ312003.1,4231594,4231838,1,ncRNA0008,CsrC,sRNA,non-coding,ncRNA0008,492,293,303,469,187,215,258,257,215,329,242,179,311,314,270,292,262,244
FQ312003.1,2228846,2228931,1,ncRNA0009,CyaR,sRNA,non-coding,ncRNA0009,349,267,203,195,145,191,185,135,193,158,253,102,215,178,231,172,225,123
FQ312003.1,4672040,4672160,-1,ncRNA0012,ECS021,sRNA,non-coding,ncRNA0012,9,15,5,5,4,7,13,2,3,4,4,6,2,5,0,12,2,2
FQ312003.1,4404362,4404574,1,ncRNA0013,ECS173,sRNA,non-coding,ncRNA0013,327,215,207,358,156,182,188,160,166,123,226,92,259,128,275,154,243,166
FQ312003.1,1706783,1706905,-1,ncRNA0015,FnrS,sRNA,non-coding,ncRNA0015,45,29,38,45,15,34,5,18,23,23,42,16,23,33,41,31,31,32
FQ312003.1,3156778,3156984,1,ncRNA0016,GcvB,sRNA,non-coding,ncRNA0016,186,160,138,218,74,105,123,132,117,152,134,55,104,108,117,124,97,146
FQ312003.1,2705380,2705564,-1,ncRNA0017,GlmY,sRNA,non-coding,ncRNA0017,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FQ312003.1,4163191,4163399,1,ncRNA0018,GlmZ,sRNA,non-coding,ncRNA0018,246,137,156,196,89,76,145,118,121,124,167,79,149,120,217,128,125,123
FQ312003.1,3489915,3489970,-1,ncRNA0019,GraL,sRNA,non-coding,ncRNA0019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FQ312003.1,1550135,1550213,-1,ncRNA0020,Ig959,sRNA,non-coding,ncRNA0020,82,169,170,61,94,104,141,71,113,63,147,63,175,101,134,100,149,73
FQ312003.1,1358935,1359182,1,ncRNA0021,Ig1085,sRNA,non-coding,ncRNA0021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
FQ312003.1,1880773,1880889,1,ncRNA0022,Ig1140,sRNA,non-coding,ncRNA0022,100,99,84,69,30,59,64,51,58,57,77,42,79,54,82,65,134,43
FQ312003.1,4162240,4162392,1,ncRNA0023,Ig2335,sRNA,non-coding,ncRNA0023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FQ312003.1,3067498,3067586,1,ncRNA0025,InvR,sRNA,non-coding,ncRNA0025,134,560,394,89,258,355,237,197,235,162,250,136,226,177,234,179,182,188
FQ312003.1,338815,339238,1,ncRNA0026,IsrA,sRNA,non-coding,ncRNA0026,213,799,584,146,358,480,343,351,448,357,525,182,511,313,402,332,496,300
FQ312003.1,1060740,1060834,1,ncRNA0027,IsrB,sRNA,non-coding,ncRNA0027,1547,2112,1806,1421,1053,1538,1389,1116,1402,1150,1494,673,1396,1116,1561,1299,1578,1114
FQ312003.1,1285996,1286284,1,ncRNA0028,IsrC,sRNA,non-coding,ncRNA0028,1342,1958,1538,1348,1015,1201,1391,946,1345,1015,1730,687,1601,1192,1547,1351,1579,1082
FQ312003.1,1309726,1309824,-1,ncRNA0030,IsrE,sRNA,non-coding,ncRNA0030,86,51,62,61,21,44,39,51,22,29,49,26,79,49,50,50,38,59
FQ312003.1,1586722,1587018,-1,ncRNA0031,IsrF,sRNA,non-coding,ncRNA0031,36,52,42,39,23,22,26,16,37,22,45,11,28,21,30,43,64,34
FQ312003.1,2342447,2342729,1,ncRNA0032,IsrG,sRNA,non-coding,ncRNA0032,212,175,154,171,112,162,162,149,132,119,203,80,112,125,221,133,192,122
FQ312003.1,2392018,2392468,-1,ncRNA0033,IsrH-1,sRNA,non-coding,ncRNA0033,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FQ312003.1,2392018,2392298,-1,ncRNA0034,IsrH-2,sRNA,non-coding,ncRNA0034,916,860,693,788,488,536,691,516,667,552,831,337,699,561,754,632,906,635
FQ312003.1,2759015,2759270,-1,ncRNA0035,IsrI,sRNA,non-coding,ncRNA0035,440,375,350,357,175,262,267,252,265,207,377,137,361,205,344,261,511,263
FQ312003.1,2850242,2850587,-1,ncRNA0038,IsrL,sRNA,non-coding,ncRNA0038,161,103,75,122,65,82,103,65,53,96,82,42,62,68,99,86,80,55
FQ312003.1,2927611,2927944,1,ncRNA0039,IsrM,sRNA,non-coding,ncRNA0039,349,561,301,223,284,364,445,289,337,314,400,220,395,279,375,313,521,330
FQ312003.1,2929500,2929643,1,ncRNA0040,IsrN,sRNA,non-coding,ncRNA0040,138,222,210,141,127,155,125,117,156,81,229,79,169,120,168,123,190,104
FQ312003.1,3219099,3219300,1,ncRNA0041,IsrO,sRNA,non-coding,ncRNA0041,199,156,84,142,61,88,133,93,84,67,157,56,174,76,148,129,174,83
FQ312003.1,4328156,4328305,1,ncRNA0042,IsrP,sRNA,non-coding,ncRNA0042,260,220,222,250,145,208,161,126,211,174,214,110,198,182,220,173,261,181
FQ312003.1,4783573,4783741,1,ncRNA0043,IsrQ,sRNA,non-coding,ncRNA0043,323,238,196,199,115,199,203,155,202,159,209,84,130,159,203,153,230,212
FQ312003.1,4019327,4019458,-1,ncRNA0045,IstR-2,sRNA,non-coding,ncRNA0045,68,48,56,75,23,33,46,42,38,20,25,17,38,29,22,22,36,23
FQ312003.1,1550745,1550843,1,ncRNA0046,MgrR,sRNA,non-coding,ncRNA0046,40,35,23,43,23,27,49,36,27,35,31,22,29,30,50,27,28,21
FQ312003.1,2989428,2989505,1,ncRNA0047,MicA,sRNA,non-coding,ncRNA0047,57,48,37,54,23,44,33,30,38,26,56,25,48,53,55,35,30,32
FQ312003.1,1702528,1702639,-1,ncRNA0048,MicC,sRNA,non-coding,ncRNA0048,32,203,193,18,112,132,57,36,79,86,136,38,90,48,75,54,109,65
FQ312003.1,4072485,4072528,1,ncRNA0050,Msr,sRNA,non-coding,ncRNA0050,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FQ312003.1,3191583,3191670,-1,ncRNA0051,OmrA,sRNA,non-coding,ncRNA0051,143,113,103,164,56,78,114,52,100,83,108,46,90,56,75,86,113,66
FQ312003.1,3191785,3191870,-1,ncRNA0052,OmrB,sRNA,non-coding,ncRNA0052,105,53,61,113,44,49,67,98,56,103,86,33,56,60,74,71,84,58
FQ312003.1,4364305,4364423,-1,ncRNA0053,OxyS,sRNA,non-coding,ncRNA0053,179,94,82,124,68,81,88,44,64,68,105,48,70,63,97,72,100,61
FQ312003.1,1287311,1287455,-1,ncRNA0055,RaoN,sRNA,non-coding,ncRNA0055,96,288,206,70,158,158,83,98,102,109,133,61,127,93,128,80,83,58
FQ312003.1,3829660,3829727,1,ncRNA0056,RdlD,sRNA,non-coding,ncRNA0056,339,231,224,362,114,197,215,148,201,166,272,126,216,229,283,197,296,187
FQ312003.1,466717,466783,-1,ncRNA0057,RdlE,sRNA,non-coding,ncRNA0057,20,16,5,5,2,6,3,1,4,8,24,4,8,4,24,6,17,10
FQ312003.1,1401684,1401790,-1,ncRNA0059,RprA,sRNA,non-coding,ncRNA0059,419,321,253,365,168,156,202,201,209,151,199,84,181,173,234,198,292,165
FQ312003.1,2034771,2034837,1,ncRNA0060,RseX,sRNA,non-coding,ncRNA0060,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FQ312003.1,901187,901397,-1,ncRNA0061,RybA,sRNA,non-coding,ncRNA0061,540,366,273,519,223,420,380,334,342,364,348,159,411,340,394,395,474,293
FQ312003.1,941812,941893,-1,ncRNA0062,RybB,sRNA,non-coding,ncRNA0062,55,40,20,38,21,34,64,10,24,21,39,17,71,16,35,8,55,29
FQ312003.1,807345,807433,1,ncRNA0063,RybD,sRNA,non-coding,ncRNA0063,1157,954,727,1103,478,598,802,652,641,711,670,323,702,631,835,655,866,591
FQ312003.1,1407277,1407375,1,ncRNA0064,RydB,sRNA,non-coding,ncRNA0064,21,51,20,25,20,33,41,23,28,17,57,15,20,29,43,44,51,26
FQ312003.1,1686526,1686590,1,ncRNA0065,RydC,sRNA,non-coding,ncRNA0065,102,67,56,53,30,45,86,59,57,49,96,25,70,50,95,73,91,71
