Gene ID,Gene,Product,Ins_count,read_count,Ins_count,read_count,Ins_count,read_count,,,Ins_count,read_count,Ins_count,read_count,Ins_count,read_count,,,Ins_count,read_count,Ins_count,read_count,Ins_count,read_count,,,,
STM14_0001,thrL,thr operon leader peptide,0,0,0,0,0,0,-0.74,,0,0,0,0,0,0,-0.74,,0,0,0,0,0,0,-0.74,,0.62,
STM14_0002,thrA,bifunctional aspartokinase I/homeserine dehydrogenase I,11,973,8,1385,5,1315,-0.8,,21,1524,18,1426,9,1464,-0.38,,9,1054,8,1466,5,1349,-0.7,,0.56,
STM14_0003,thrB,homoserine kinase,7,185,2,132,2,83,-2.4,,9,640,8,594,4,607,-0.39,,7,197,2,139,2,86,-2.32,,0.84,
STM14_0004,thrC,threonine synthase,5,467,3,468,4,662,-0.73,,9,1354,9,1044,4,959,0.59,,5,522,3,487,3,692,-0.61,,0.39,
STM14_0005,yaaA,hypothetical protein,4,1324,3,641,2,1577,0.13,,8,995,6,705,4,516,-0.24,,4,1294,3,706,2,1660,0.16,,0.29,
STM14_0006,yaaJ,putative alanine/glycine transport protein,7,1041,7,828,6,518,-1.32,,18,408,14,342,6,396,-2.55,,6,997,6,830,6,519,-1.36,,0.81,
STM14_0007,talB,transaldolase B,5,533,4,375,3,67,-1.03,,11,859,8,702,5,853,0.02,,4,625,4,411,3,74,-0.84,,0.55,
STM14_0008,mogA,molybdenum cofactor biosynthesis protein,1,30,0,0,0,0,-6.19,,5,481,5,668,3,1230,0.04,,1,52,0,0,0,0,-5.71,,0.06,
STM14_0009,yaaH,hypothetical protein,4,263,4,312,2,335,-0.52,,6,85,4,63,1,13,-2.64,,4,253,3,301,2,328,-0.57,,0.9,
STM14_0010,htgA,hypothetical protein,3,452,2,484,2,442,0.4,,5,457,4,284,2,388,0.15,,3,471,2,493,2,466,0.45,,0.2,
STM14_0011,yaaI,hypothetical protein,1,115,1,71,0,0,-2.47,,2,120,2,108,1,72,-1.64,,1,140,1,70,0,0,-2.31,,0.6,
STM14_0012,-,hypothetical protein,0,0,0,0,0,0,-7.83,,2,135,2,223,1,171,-0.5,,0,0,0,0,0,0,-7.83,,0,
STM14_0013,dnaK,molecular chaperone DnaK,0,0,0,0,0,0,-8.23,,0,0,0,0,0,0,-8.23,,0,0,0,0,0,0,-8.23,,0,essential
STM14_0014,dnaJ,chaperone protein DnaJ,1,2,0,0,0,0,-7.91,,4,22,1,2,1,2,-5.52,,1,2,0,0,0,0,-7.82,,0,essential
STM14_0015,-,hypothetical protein,0,0,0,0,0,0,-3.21,,0,0,0,0,0,0,-3.21,,0,0,0,0,0,0,-3.21,,0.19,
STM14_0016,-,putative transcriptional regulator,4,216,1,330,2,71,-0.96,,8,139,3,166,1,197,-1.49,,3,234,1,325,1,79,-0.88,,0.82,
STM14_0017,-,putative bacteriophage protein,0,0,0,0,0,0,-2.57,,0,0,0,0,0,0,-2.57,,0,0,0,0,0,0,-2.57,,0.39,
STM14_0018,-,hypothetical protein,4,928,3,1769,3,2346,0.07,,10,1657,8,1351,6,1204,0.36,,4,941,3,1742,2,2391,0.08,,0.24,
STM14_0019,-,hypothetical protein,1,25,0,0,0,0,-3.6,,1,56,1,17,0,0,-1.69,,1,19,0,0,0,0,-3.83,,0.23,
STM14_0020,-,hypothetical protein,0,0,0,0,0,0,-3.22,,0,0,0,0,0,0,-3.22,,0,0,0,0,0,0,-3.22,,0.18,
STM14_0021,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0022,-,putative exochitinase,14,1852,11,1695,9,1202,-0.27,,29,1823,22,1360,8,804,-0.44,,14,1760,11,1706,9,1194,-0.31,,0.43,
STM14_0023,-,putative hydroxymethyltransferase,25,2559,17,3053,13,2606,-0.17,,38,3047,30,2111,19,1200,-0.29,,25,2763,17,3082,14,2758,-0.09,,0.36,
STM14_0024,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0025,-,putative cytoplasmic protein,2,68,2,27,1,2,-3.59,,10,844,4,478,4,228,0.42,,2,54,2,23,0,0,-4.03,,0.47,
STM14_0026,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
