gene_name,type,new_locus,old_locus
thrL, protein_coding, STM14_RS00570, STM14_0001
thrA, protein_coding, STM14_RS00575, STM14_0002
thrB, protein_coding, STM14_RS00580, STM14_0003
thrC, protein_coding, STM14_RS00585, STM14_0004
yaaA, protein_coding, STM14_RS00590, STM14_0005
STM14_RS00595, protein_coding, STM14_RS00595, STM14_0006
tal, protein_coding, STM14_RS00600, STM14_0007
mog, protein_coding, STM14_RS00605, STM14_0008
satP, protein_coding, STM14_RS00610, STM14_0009
msyB, protein_coding, STM14_RS00615, STM14_0010
STM14_RS00620, protein_coding, STM14_RS00620, STM14_0011
dnaK, protein_coding, STM14_RS00625, STM14_0013
dnaJ, protein_coding, STM14_RS00630, STM14_0014
STM14_RS00635, protein_coding, STM14_RS00635, STM14_0016
STM14_RS00640, protein_coding, STM14_RS00640, STM14_0017
STM14_RS00645, protein_coding, STM14_RS00645, STM14_0018
STM14_RS00650, protein_coding, STM14_RS00650, STM14_0019
STM14_RS00655, protein_coding, STM14_RS00655, STM14_0022
STM14_RS00660, protein_coding, STM14_RS00660, STM14_0023
STM14_RS00665, protein_coding, STM14_RS00665, STM14_0025
STM14_RS00670, protein_coding, STM14_RS00670, STM14_0028
bcfB, protein_coding, STM14_RS00675, STM14_0029
bcfC, protein_coding, STM14_RS00680, STM14_0030
STM14_RS00685, protein_coding, STM14_RS00685, STM14_0031
STM14_RS00690, protein_coding, STM14_RS00690, STM14_0032
STM14_RS00695, protein_coding, STM14_RS00695, STM14_0033
bcfG, protein_coding, STM14_RS00700, STM14_0034
STM14_RS00705, protein_coding, STM14_RS00705, STM14_0035
STM14_RS00710, protein_coding, STM14_RS00710, STM14_0036
STM14_RS00715, protein_coding, STM14_RS00715, STM14_0037
STM14_RS00720, protein_coding, STM14_RS00720, STM14_0038
STM14_RS00725, protein_coding, STM14_RS00725, STM14_0039
STM14_RS00730, protein_coding, STM14_RS00730, STM14_0041
STM14_RS00735, protein_coding, STM14_RS00735, STM14_0042
STM14_RS00740, protein_coding, STM14_RS00740, STM14_0043
STM14_RS00745, protein_coding, STM14_RS00745, STM14_0044
STM14_RS00750, protein_coding, STM14_RS00750, STM14_0045
STM14_RS00755, protein_coding, STM14_RS00755, STM14_0046
STM14_RS00760, protein_coding, STM14_RS00760, STM14_0047
nhaA, protein_coding, STM14_RS00765, STM14_0048
nhaR, protein_coding, STM14_RS00770, STM14_0049
STM14_RS00775, protein_coding, STM14_RS00775, STM14_0050
STM14_RS00780, protein_coding, STM14_RS00780, STM14_0051
rpsT, protein_coding, STM14_RS00785, STM14_0052
STM14_RS00790, protein_coding, STM14_RS00790, STM14_0053
ribF, protein_coding, STM14_RS00795, STM14_0054
ileS, protein_coding, STM14_RS00800, STM14_0055
lspA, protein_coding, STM14_RS00805, STM14_0056
fkpB, protein_coding, STM14_RS00810, STM14_0058
ispH, protein_coding, STM14_RS00815, STM14_0059
STM14_RS00820, protein_coding, STM14_RS00820, STM14_0060
rihC, protein_coding, STM14_RS00825, STM14_0061
STM14_RS00830, protein_coding, STM14_RS00830, STM14_0062
STM14_RS00835, protein_coding, STM14_RS00835, STM14_0063
STM14_RS00840, protein_coding, STM14_RS00840, STM14_0064
oadA, protein_coding, STM14_RS00845, STM14_0065
STM14_RS00850, protein_coding, STM14_RS00850, STM14_0066
citS, protein_coding, STM14_RS00855, STM14_0067
citC, protein_coding, STM14_RS00860, STM14_0069
citD, protein_coding, STM14_RS00865, STM14_0070
citE, protein_coding, STM14_RS00870, STM14_0071
citF, protein_coding, STM14_RS00875, STM14_0072
citX, protein_coding, STM14_RS00880, STM14_0073
citG, protein_coding, STM14_RS00885, STM14_0074
dapB, protein_coding, STM14_RS00890, STM14_0075
STM14_RS26685, protein_coding, STM14_RS26685, STM14_0076
carA, protein_coding, STM14_RS00900, STM14_0077
carB, protein_coding, STM14_RS00905, STM14_0078
tnpA, protein_coding, STM14_RS00910, STM14_0080
caiF, protein_coding, STM14_RS00915, STM14_0081
caiE, protein_coding, STM14_RS00920, STM14_0082
caiD, protein_coding, STM14_RS00925, STM14_0083
caiC, protein_coding, STM14_RS00930, STM14_0084
caiB, protein_coding, STM14_RS00935, STM14_0085
caiA, protein_coding, STM14_RS00940, STM14_0087
caiT, protein_coding, STM14_RS00945, STM14_0088
STM14_RS00955, protein_coding, STM14_RS00955, STM14_0090
STM14_RS00960, protein_coding, STM14_RS00960, STM14_0091
STM14_RS00965, protein_coding, STM14_RS00965, STM14_0092
fixX, protein_coding, STM14_RS00970, STM14_0093
STM14_RS00975, protein_coding, STM14_RS00975, STM14_0094
STM14_RS00980, protein_coding, STM14_RS00980, STM14_0095
STM14_RS00985, protein_coding, STM14_RS00985, STM14_0096
srfN, protein_coding, STM14_RS00990, STM14_0098
STM14_RS01000, protein_coding, STM14_RS01000, STM14_0100
kefF, protein_coding, STM14_RS01005, STM14_0103
kefC, protein_coding, STM14_RS01010, STM14_0104
folA, protein_coding, STM14_RS01015, STM14_0106
apaH, protein_coding, STM14_RS01020, STM14_0107
apaG, protein_coding, STM14_RS01025, STM14_0108
rsmA, protein_coding, STM14_RS01030, STM14_0109
pdxA, protein_coding, STM14_RS01035, STM14_0110
surA, protein_coding, STM14_RS01040, STM14_0111
lptD, protein_coding, STM14_RS01045, STM14_0112
djlA, protein_coding, STM14_RS01050, STM14_0114
rluA, protein_coding, STM14_RS01055, STM14_0115
rapA, protein_coding, STM14_RS01060, STM14_0116
polB, protein_coding, STM14_RS01065, STM14_0117
STM14_RS01070, protein_coding, STM14_RS01070, STM14_0118
STM14_RS01075, protein_coding, STM14_RS01075, STM14_0119
araD, protein_coding, STM14_RS01080, STM14_0120
araA, protein_coding, STM14_RS01085, STM14_0121
araB, protein_coding, STM14_RS01090, STM14_0122
araC, protein_coding, STM14_RS01095, STM14_0123
STM14_RS01100, protein_coding, STM14_RS01100, STM14_0124
thiQ, protein_coding, STM14_RS01105, STM14_0125
thiP, protein_coding, STM14_RS01110, STM14_0126
thiB, protein_coding, STM14_RS01115, STM14_0127
sgrR, protein_coding, STM14_RS01120, STM14_0129
STM14_RS01125, protein_coding, STM14_RS01125,
leuD, protein_coding, STM14_RS01130, STM14_0131
leuC, protein_coding, STM14_RS01135, STM14_0132
leuB, protein_coding, STM14_RS01140, STM14_0133
leuA, protein_coding, STM14_RS01145, STM14_0134
