"","genes","logFC","logCPM","LR","PValue","padjFilter","FDR","gene_name","gene_function","old_locus","SL1344_tag","type","SPI","DE"
"STM14_3611","STM14_3611",-5.96300743655619,8.01857964941665,283.583557858443,4.96069410706613e-06,0.0248481167822942,0.0248481167822942,"recC","exonuclease V subunit gamma","STM14_3611","SL1344_2974","protein_coding","-","Attenuated"
"STM14_3609","STM14_3609",-6.15771883223108,7.43568235796644,118.722238405118,5.38922717485672e-05,0.0371229859073119,0.0371229859073119,"recB","exonuclease V subunit beta","STM14_3609","SL1344_2972","protein_coding","-","Attenuated"
"STM14_4792","STM14_4792",-3.79298874994446,7.30347957114106,118.313325776293,5.43973248171277e-05,0.0371229859073119,0.0371229859073119,"trkH","potassium transporter","STM14_4792","SL1344_3939","protein_coding","-","Attenuated"
"STM14_0241","STM14_0241",-5.76896470146559,4.47035904937919,113.784825262232,6.04452733245616e-05,0.0371229859073119,0.0371229859073119,"hemL","glutamate-1-semialdehyde aminotransferase","STM14_0241","SL1344_0203","protein_coding","-","Attenuated"
"STM14_4484","STM14_4484",-4.37247747285992,6.32740273095108,113.528318496823,6.08145889743577e-05,0.0371229859073119,0.0371229859073119,"rfaQ","lipopolysaccharide core biosynthesis protein","STM14_4484","SL1344_3689","protein_coding","-","Attenuated"
"STM14_4482","STM14_4482",-5.06284127668652,5.43304638747443,112.584341790148,6.22003603727206e-05,0.0371229859073119,0.0371229859073119,"rfaP","lipopolysaccharide core biosynthetic protein","STM14_4482","SL1344_3687","protein_coding","-","Attenuated"
"STM14_4112","STM14_4112",-6.39071358963525,5.71501143168964,108.871370223369,6.80862875224475e-05,0.0371229859073119,0.0371229859073119,"trkA","potassium transporter peripheral membrane component","STM14_4112","SL1344_3376","protein_coding","-","Attenuated"
"STM14_4483","STM14_4483",-4.66916094864953,5.90164548602094,107.098426639641,7.11646164123452e-05,0.0371229859073119,0.0371229859073119,"rfaG","glucosyltransferase I","STM14_4483","SL1344_3688","protein_coding","-","Attenuated"
"STM14_0290","STM14_0290",-4.57839790569956,5.78527641492233,106.692251228126,7.18963108127332e-05,0.0371229859073119,0.0371229859073119,"yaeD","D,D-heptose 1,7-bisphosphate phosphatase","STM14_0290","SL1344_0249","protein_coding","-","Attenuated"
"STM14_4750","STM14_4750",-4.74827115275176,4.9288395180605,104.696181738561,7.56442961305349e-05,0.0371229859073119,0.0371229859073119,"xerC","site-specific tyrosine recombinase XerC","STM14_4750","SL1344_3903","protein_coding","-","Attenuated"
"STM14_4885","STM14_4885",-2.96955415647997,7.60060708791891,101.82086523833,8.15238261090899e-05,0.0371229859073119,0.0371229859073119,"pfkA","6-phosphofructokinase","STM14_4885","SL1344_4011","protein_coding","-","Attenuated"
