"","LT2_tag","SL1344_tag","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba"
"1","STM0002","SL1344_0002",0,1862,0,1862
"2","STM0003","SL1344_0003",0,694,0,694
"3","STM0004","SL1344_0004",0,966,0,966
"4","STM0005","SL1344_0005",1.24e-175,610,1.23e-175,610
"5","STM0006","SL1344_0006",0,857,0,857
"6","STM0007","SL1344_0007",0,736,0,736
"7","STM0008","SL1344_0008",3.49e-136,478,3.46e-136,478
"8","STM0009","SL1344_0009",8.66e-132,463,8.57e-132,463
"9","STM0010","SL1344_0010",1.84e-152,480,1.82e-152,480
"10","STM0011","SL1344_0011",2.52e-86,312,2.5e-86,312
"11","STM0012","SL1344_0012",0,1508,0,1508
"12","STM0013","SL1344_0013",0,599,0,599
"13","STM0014","SL1344_0014",0,730,0,730
"14","STM0015","SL1344_0015",7.93e-75,273,7.85e-75,273
"15","STM0016","SL1344_0016",7.96e-128,450,7.89e-128,450
"16","STM0017","SL1344_0017",7.48e-98,350,7.41e-98,350
"17","STM0018","SL1344_0018",0,1243,0,1246
"18","STM0019","SL1344_0019",0,2009,0,2009
"19","STM0020","SL1344_0020",3.71e-162,565,3.68e-162,565
"20","STM0021","SL1344_0021",5.47e-123,434,5.42e-123,434
"21","STM0022","SL1344_0022",3.31e-157,548,3.28e-157,548
"22","STM0023","SL1344_0023",0,1697,0,1697
"23","STM0024","SL1344_0024",0,801,0,801
"24","STM0025","SL1344_0025",8.94e-117,413,8.85e-117,413
"25","STM0026","SL1344_0026",6.12e-121,427,6.06e-121,427
"26","STM0027","SL1344_0027",7.27e-166,577,6.94e-166,577
"27","STM0028","SL1344_0028",1.7e-160,510,1.69e-160,510
"28","STM0029","SL1344_0030",6.5e-92,330,6.44e-92,330
"29","STM0030","SL1344_0031",0,788,0,788
"30","STM0031","SL1344_0032",8.03e-95,340,7.95e-95,340
"31","STM0032","SL1344_0033",0,1353,0,1353
"32","STM0033","SL1344_0034",0,1264,0,1264
"33","STM0034","SL1344_0035",0,636,0,636
"34","STM0035","SL1344_0036",0,1225,0,1225
"35","STM0036","SL1344_0037",0,996,0,996
"36","STM0037","SL1344_0038",0,1009,0,1009
"37","STM0038","SL1344_0039",0,1386,0,1386
"38","STM0039","SL1344_0040",0,774,0,774
"39","STM0040","SL1344_0041",0,678,0,678
"40","STM0041","SL1344_0042",0,1714,0,1714
"41","STM0042","SL1344_0043",0,1098,0,1098
"42","STM0043","SL1344_0044",2.99e-56,211,2.96e-56,211
"43","STM0044","SL1344_0045",6.62e-46,176,6.55e-46,176
"44","STM0045","SL1344_0046",0,730,0,730
"45","STM0046","SL1344_0047",0,2300,0,2300
"46","STM0047","SL1344_0048",7.42e-112,397,7.35e-112,397
"47","STM0048","SL1344_0049",8.17e-99,353,8.09e-99,353
"48","STM0049","SL1344_0050",0,732,0,732
"49","STM0050","SL1344_0051",0,996,0,996
"50","STM0051","SL1344_0052",0,752,0,752
"51","STM0052","SL1344_0053",1.63e-160,559,1.61e-160,559
"52","STM0053","SL1344_0054",0,1156,0,1156
"53","STM0056","SL1344_0057",2.72e-52,168,2.69e-52,168
"54","STM0057","SL1344_0058",0,1018,0,1018
"55","STM0058","SL1344_0059",0,631,0,631
"56","STM0059","SL1344_0060",6.74e-64,237,6.68e-64,237
"57","STM0060","SL1344_0061",0,692,0,692
"58","STM0061","SL1344_0062",0,1196,0,1196
