# file_a	file_b
# a	b	evalue_ab	bitscore_ab	evalue_ba	bitscore_ba
# FN424405.1.fasta	SL1344_combined.fasta
# 0	1524	0	1524
STMMW_00001	SL1344_0001	5.97e-41	161	5.67e-41	161
STMMW_00011	SL1344_0002	0.0	4549	0.0	4549
STMMW_00021	SL1344_0003	0.0	1718	0.0	1718
STMMW_00031	SL1344_0004	0.0	2377	0.0	2377
STMMW_00041	SL1344_0005	0.0	1424	0.0	1424
STMMW_00051	SL1344_0006	0.0	2643	0.0	2643
STMMW_00061	SL1344_0007	0.0	1762	0.0	1762
STMMW_00071	SL1344_0008	0.0	1092	0.0	1092
STMMW_00081	SL1344_0009	0.0	1048	0.0	1048
STMMW_00091	SL1344_0010	0.0	1319	0.0	1319
STMMW_00101	SL1344_0011	0.0	749	0.0	749
STMMW_00111	SL1344_0012	0.0	3535	0.0	3535
STMMW_00121	SL1344_0013	0.0	2100	0.0	2100
STMMW_00131	SL1344_0014	0.0	1740	0.0	1740
STMMW_00141	SL1344_0015	0.0	638	0.0	638
STMMW_00151	SL1344_0016	0.0	987	0.0	987
STMMW_00161	SL1344_0017	0.0	821	0.0	821
STMMW_00171	SL1344_0018	0.0	3480	0.0	3480
STMMW_00181	SL1344_0019	0.0	5535	0.0	5535
STMMW_00191	SL1344_0020	0.0	1303	0.0	1303
STMMW_00201	SL1344_0021	0.0	1003	0.0	1003
STMMW_00211	SL1344_0022	0.0	1264	0.0	1264
STMMW_00221	SL1344_0023	0.0	4843	0.0	4843
STMMW_00231	SL1344_0024	0.0	1862	0.0	1862
STMMW_00241	SL1344_0025	0.0	1009	0.0	1009
STMMW_00251	SL1344_0026	0.0	959	0.0	959
STMMW_00261	SL1344_0027	0.0	1303	0.0	1303
STMMW_00271	SL1344_0028	0.0	1557	0.0	1557
STMMW_00281	SL1344_0029	2.23e-175	610	2.12e-175	610
STMMW_00291	SL1344_0030	0.0	832	0.0	832
STMMW_00301	SL1344_0031	0.0	1857	0.0	1857
STMMW_00311	SL1344_0032	0.0	815	0.0	815
STMMW_00331	SL1344_0033	0.0	3169	0.0	3169
STMMW_00341	SL1344_0034	0.0	2898	0.0	2898
STMMW_00351	SL1344_0035	0.0	1408	0.0	1408
STMMW_00361	SL1344_0036	0.0	2760	0.0	2760
STMMW_00371	SL1344_0037	0.0	2200	0.0	2200
STMMW_00381	SL1344_0038	0.0	2311	0.0	2311
STMMW_00391	SL1344_0039	0.0	3164	0.0	3164
STMMW_00401	SL1344_0040	0.0	2156	0.0	2156
STMMW_00411	SL1344_0041	0.0	1663	0.0	1663
STMMW_00421	SL1344_0042	0.0	3768	0.0	3768
STMMW_00431	SL1344_0043	0.0	2538	0.0	2538
