"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore"
"ncRNA0002","ArcZ","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.602576012447235,-0.490311187489392,-0.417653826525021
"ncRNA0007","CsrB","-","Chromosome","-","no category","no theme","Phox-liver",0.999204941602324,-0.352807308071667,-0.300526127083958
"ncRNA0008","CsrC","-","Chromosome","-","no category","no theme","Phox-liver",0.504472873612741,0.755057313448185,0.643168225106345
"ncRNA0028","IsrC","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.340384880205015,0.939851300039426,0.80057828954693
"ncRNA0032","IsrG","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.999204941602324,0.416117095562831,0.354454276546676
"ncRNA0035","IsrI","-","Chromosome","-","no category","no theme","Phox-liver",0.58238087255877,0.581249912645415,0.495116685847483
"ncRNA0039","IsrM","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.919162675781834,0.113476681175837,0.096661000857692
"ncRNA0040","IsrN","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.970852216633299,0.045331027619045,0.0386135940367772
"ncRNA0043","IsrQ","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.425815934554787,-0.715557090868225,-0.609521391156697
"ncRNA0048","MicC","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.887249340920785,0.157215063283674,0.133917957499635
"ncRNA0066","RyeF","Participates in the control of copper homeostasis","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.00264170628225092,-0.00225024181680773
"ncRNA0067","RyfA","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.646072288730519,-0.442420327352842,-0.376859731872556
"ncRNA0073","SgrS","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.500659896978658,0.745998439426352,0.635451751373408
"ncRNA0081","SraF","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.98437353427509,0.672525584814607,0.572866561279259
"ncRNA0089","SsrS","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.999204941602324,-0.439567633988842,-0.374429768351883
"ncRNA0164","STnc440","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.507437831920298,-0.603556687935867,-0.51411790445152
"ncRNA0199","STnc780","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.388873519393257,-0.810055961489462,-0.690016831449106
"ncRNA0207","STnc880","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.684699250329853,-0.404896630403241,-0.344896529693521
"ncRNA0224","STnc1150","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.552652118115622,0.59024973789878,0.502782861025682
"ncRNA0255","STnc1590","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.999204941602324,0.234065618669878,0.199380319661859
