locus_tag,gene_name,start,end,strand,read_count,ins_index,gene_length,ins_count,function,call
STMMW_00001,thrL,169,255,1,22,0.103448275862069,87,9,thr operon leader peptide,not required
STMMW_00011,thrA,337,2799,1,29,0.00243605359317905,2463,6,aspartokinase I/homoserine dehydrogenase I,required
STMMW_00021,thrB,2801,3730,1,44,0.00860215053763441,930,8,HK,required
STMMW_00031,thrC,3734,5020,1,22,0.00777000777000777,1287,10,threonine synthase,required
STMMW_00041,yaaA,5114,5887,-1,344,0.186046511627907,774,144,conserved hypothetical protein,not required
STMMW_00051,yaaJ,5966,7396,-1,702,0.181691125087351,1431,260,putative amino-acid transport protein,not required
STMMW_00061,talB,7665,8618,1,558,0.20230607966457,954,193,transaldolase B,not required
STMMW_00071,mog,8729,9319,1,310,0.17258883248731,591,102,molybdopterin biosynthesis Mog protein,not required
STMMW_00081,yaaH,9376,9942,-1,280,0.149911816578483,567,85,putative membrane protein,not required
STMMW_00091,htgA,10092,10805,-1,467,0.245098039215686,714,175,conserved hypothetical protein,not required
STMMW_00101,yaaI,10841,11245,-1,231,0.212345679012346,405,86,putative exported protein,not required
STMMW_00111,dnaK,11593,13509,1,22,0.00365153886280647,1917,7,DnaK protein (heat shock protein 70),required
STMMW_00121,dnaJ,13595,14734,1,114,0.0271929824561404,1140,31,DNAJ protein,required
STMMW_00131,STMMW_00131,15014,15961,1,411,0.163502109704641,948,155,putative regulatory protein,not required
STMMW_00141,STMMW_00141,16088,16432,1,32,0.0405797101449275,345,14,putative phage protein,required
STMMW_00151,STMMW_00151,16493,17026,-1,679,0.355805243445693,534,190,conserved hypothetical protein,not required
STMMW_00161,STMMW_00161,17043,17486,-1,180,0.0968468468468468,444,43,putative membrane protein,not required
STMMW_00171,chiA,17867,19966,1,1144,0.211428571428571,2100,444,putative chitinase,not required
STMMW_00181,STMMW_00181,20058,23054,1,1895,0.21021021021021,2997,630,putative chitinase,not required
STMMW_00191,STMMW_00191,23335,24039,1,570,0.314893617021277,705,222,conserved hypothetical protein,not required
STMMW_00201,bcfA,24469,25011,1,1129,0.530386740331492,543,288,fimbrial subunit,not required
STMMW_00211,bcfB,25112,25798,1,590,0.272197962154294,687,187,fimbrial chaperone,not required
STMMW_00221,bcfC,25803,28424,1,1789,0.210907704042715,2622,553,fimbrial usher protein,not required
STMMW_00231,bcfD,28425,29432,1,668,0.232142857142857,1008,234,fimbrial subunit,not required
STMMW_00241,bcfE,29433,29978,1,305,0.192307692307692,546,105,fimbrial subunit,not required
STMMW_00251,bcfF,29994,30512,1,293,0.215799614643545,519,112,fimbrial subunit,not required
STMMW_00261,bcfG,30478,31209,1,518,0.236338797814208,732,173,fimbrial chaperone,not required
STMMW_00271,bcfH,31274,32119,1,530,0.173758865248227,846,147,putative exported protein,not required
STMMW_00281,STMMW_00281,32116,32445,1,264,0.224242424242424,330,74,putative membrane protein,not required
STMMW_00291,STMMW_00291,32545,32994,-1,19,0.0222222222222222,450,10,putative membrane protein,required
STMMW_00301,STMMW_00301,33364,34368,1,60,0.0348258706467662,1005,35,putative transcriptional regulator (LysR family),required
STMMW_00311,STMMW_00311,34376,34816,-1,17,0.0226757369614512,441,10,putative transcriptional regulator,required
STMMW_00331,STMMW_00331,35339,37057,1,3302,0.486329261198371,1719,836,possible sulfatase,not required
STMMW_00341,STMMW_00341,37103,38674,-1,1408,0.293893129770992,1572,462,putative secreted 5'-nucleotidase,not required
STMMW_00351,STMMW_00351,38773,39534,-1,254,0.144356955380577,762,110,putative exported protein,not required
STMMW_00361,STMMW_00361,40131,41624,1,1384,0.303212851405622,1494,453,putative secreted sulfatase,not required
STMMW_00371,STMMW_00371,41723,42913,1,844,0.240973971452561,1191,287,possible sulfatase regulatory protein,not required
STMMW_00381,STMMW_00381,42932,44185,1,1750,0.330143540669856,1254,414,conserved hypothetical protein,not required
STMMW_00391,STMMW_00391,44312,46027,1,2288,0.415501165501166,1716,713,possible sulfatase,not required
STMMW_00401,nhaA,46190,47356,1,398,0.115681233933162,1167,135,Na( )/H( ) antiporter 1,not required
STMMW_00411,nhaR,47418,48317,1,477,0.213333333333333,900,192,transcriptional activator protein NhaR,not required
STMMW_00421,STMMW_00421,48372,50411,-1,1144,0.187745098039216,2040,383,putative glycosyl hydrolase,not required
STMMW_00431,STMMW_00431,50451,51824,-1,1217,0.254730713245997,1374,350,putative transport protein,not required
STMMW_00441,rpsT,52280,52543,-1,4,0.00378787878787879,264,1,30S ribosomal protein S20,required
STMMW_00451,yaaY,52649,52864,1,14,0.0462962962962963,216,10,conserved hypothetical protein,required
STMMW_00461,ribF,52872,53810,1,2,0.00212992545260916,939,2,riboflavin biosynthesis protein RibF,required
STMMW_00471,ileS,53855,56689,1,93,0.00634920634920635,2835,18,isoleucyl-tRNA synthetase,required
STMMW_00481,lspA,56689,57189,1,20,0.00798403193612774,501,4,lipoprotein signal peptidase,required
STMMW_00491,fkpB,57344,57793,1,211,0.16,450,72,probable FkbB-type 16 kD peptidyl-prolyl cis- trans isomerase,not required
STMMW_00501,ispH,57796,58746,1,39,0.0115667718191377,951,11,LytB protein,required
STMMW_00511,STMMW_00511,58946,60148,1,865,0.236907730673317,1203,285,conserved hypothetical protein,not required
STMMW_00521,rihC,60164,61084,1,825,0.267100977198697,921,246,putative nucleoside hydrolase (IUNH family),not required
STMMW_00531,citB2,61106,61792,-1,804,0.333333333333333,687,229,transcriptional regulatory protein citb,not required
STMMW_00541,citA2,61794,63413,-1,4119,0.548765432098765,1620,889,sensor kinase cita,not required
STMMW_00551,STMMW_00551,63548,64849,-1,1883,0.420890937019969,1302,548,oxaloacetate decarboxylase beta chain (ec 4.1.1.3),not required
STMMW_00561,STMMW_00561,64862,66637,-1,2031,0.364301801801802,1776,647,oxaloacetate decarboxylase alpha chain,not required
STMMW_00571,oadG,66654,66893,-1,180,0.208333333333333,240,50,oxaloacetate decarboxylase gamma chain 1,not required
STMMW_00581,STMMW_00581,67052,68392,-1,1242,0.24310216256525,1341,326,citrate-sodium symporter,not required
STMMW_00591,citC2,68637,69680,1,598,0.203065134099617,1044,212,[citrate (PRO-3S)-lyase] ligase,not required
STMMW_00601,citD2,69710,70003,1,146,0.170068027210884,294,50,citrate lyase acyl carrier protein,not required
STMMW_00611,citE2,70000,70869,1,954,0.282758620689655,870,246,citrate lyase beta chain,not required
STMMW_00621,citF2,70880,72400,1,1128,0.226166995397765,1521,344,citrate lyase alpha chain,not required
STMMW_00631,citX2,72400,72951,1,571,0.298913043478261,552,165,citx protein,not required
STMMW_00641,citG2,72929,73837,1,539,0.204620462046205,909,186,citg protein,not required
STMMW_00651,dapB,74017,74838,1,3,0.00121654501216545,822,1,dihydrodipicolinate reductase,required
STMMW_00661,STMMW_00661,75088,75436,1,94,0.111747851002865,349,39,putative viral protein (pseudogene),not required
STMMW_00681,carA,75881,77029,1,6,0.00348128807658834,1149,4,carbamoyl-phosphate synthase small chain,required
STMMW_00691,carB,77048,80275,1,66,0.00650557620817844,3228,21,carbamoyl-phosphate synthase large chain,required
STMMW_00701,caiF,80549,80944,1,662,0.48989898989899,396,194,transcriptional activator CaiF,not required
STMMW_00711,caiE,81021,81617,-1,569,0.249581239530988,597,149,carnitine operon protein CaiE,not required
STMMW_00721,caiD,81726,82511,-1,699,0.234096692111959,786,184,carnitine racemase,not required
STMMW_00731,caiC,82565,84118,-1,1519,0.322393822393822,1554,501,probable crotonobetaine/carnitine-CoA ligase,not required
