"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore","DE"
"ncRNA0002","ArcZ","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.616068434306799,-0.687513789964188,-0.302936473049989,"FDR>=0.05"
"ncRNA0007","CsrB","-","Chromosome","-","no category","no theme","Balb/c",0.481422906833986,-0.726914387606763,-0.320297402038083,"FDR>=0.05"
"ncRNA0008","CsrC","-","Chromosome","-","no category","no theme","Balb/c",0.542823616764617,-0.671283071168427,-0.295784795834453,"FDR>=0.05"
"ncRNA0028","IsrC","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.503964290930191,0.800503259687713,0.352722574724569,"FDR>=0.05"
"ncRNA0032","IsrG","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.970323665526161,0.131817029364903,0.058082014567025,"FDR>=0.05"
"ncRNA0035","IsrI","-","Chromosome","-","no category","no theme","Balb/c",0.790799160381339,0.446853210394367,0.19689515687385,"FDR>=0.05"
"ncRNA0039","IsrM","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.810405270258087,0.495102111979596,0.218154878915974,"FDR>=0.05"
"ncRNA0040","IsrN","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.976630506327813,0.100044366657973,0.0440821522801236,"FDR>=0.05"
"ncRNA0043","IsrQ","non-coding","Chromosome",NA,"no category","no theme","Balb/c",1,0.00424805253667225,0.00187180253192824,"FDR>=0.05"
"ncRNA0048","MicC","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.278759585402871,1.0625507077001,0.46818750187426,"FDR>=0.05"
"ncRNA0067","RyfA","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.942126190463283,-0.155704422037727,-0.0686074216094676,"FDR>=0.05"
"ncRNA0073","SgrS","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.873159912429263,-0.284312240756947,-0.125275374424614,"FDR>=0.05"
"ncRNA0081","SraF","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.485793096197086,-15,-6.6093904763518,"FDR>=0.05"
"ncRNA0089","SsrS","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.900695790947995,-0.247010406773708,-0.108839215339329,"FDR>=0.05"
