"s1480_tag","old_locus","locus_tag","s1480geneID","gene_name","gene_function","type","SPI","model","DE","logFC","logCPM","LR","PValue","FDR","zscore"
"STM14_3611","STM14_3611","SL1344_2974","recC","recC","exonuclease V subunit gamma","protein_coding","-","HeLa","Attenuated",-5.96300743655619,8.01857964941665,283.583557858443,4.96069410706613e-06,0.0248481167822942,-3.68129815313911
"STM14_3609","STM14_3609","SL1344_2972","recB","recB","exonuclease V subunit beta","protein_coding","-","HeLa","Attenuated",-6.15771883223108,7.43568235796644,118.722238405118,5.38922717485672e-05,0.0371229859073119,-3.80150439284607
"STM14_4792","STM14_4792","SL1344_3939","trkH","trkH","potassium transporter","protein_coding","-","HeLa","Attenuated",-3.79298874994446,7.30347957114106,118.313325776293,5.43973248171277e-05,0.0371229859073119,-2.34162419359853
"STM14_4484","STM14_4484","SL1344_3689","rfaQ","rfaQ","lipopolysaccharide core biosynthesis protein","protein_coding","-","HeLa","Attenuated",-4.37247747285992,6.32740273095108,113.528318496823,6.08145889743577e-05,0.0371229859073119,-2.69937500778595
"STM14_4482","STM14_4482","SL1344_3687","rfaP","rfaP","lipopolysaccharide core biosynthetic protein","protein_coding","-","HeLa","Attenuated",-5.06284127668652,5.43304638747443,112.584341790148,6.22003603727206e-05,0.0371229859073119,-3.12557521348094
"STM14_4112","STM14_4112","SL1344_3376","trkA","sapG","potassium transporter peripheral membrane component","protein_coding","-","HeLa","Attenuated",-6.39071358963525,5.71501143168964,108.871370223369,6.80862875224475e-05,0.0371229859073119,-3.9453450939099
"STM14_4483","STM14_4483","SL1344_3688","rfaG","rfaG","glucosyltransferase I","protein_coding","-","HeLa","Attenuated",-4.66916094864953,5.90164548602094,107.098426639641,7.11646164123452e-05,0.0371229859073119,-2.88253431843775
"STM14_0290","STM14_0290","SL1344_0249","yaeD","yaeD","D,D-heptose 1,7-bisphosphate phosphatase","protein_coding","-","HeLa","Attenuated",-4.57839790569956,5.78527641492233,106.692251228126,7.18963108127332e-05,0.0371229859073119,-2.82650121334104
"STM14_4750","STM14_4750","SL1344_3903","xerC","xerC","site-specific tyrosine recombinase XerC","protein_coding","-","HeLa","Attenuated",-4.74827115275176,4.9288395180605,104.696181738561,7.56442961305349e-05,0.0371229859073119,-2.93137347407432
"STM14_4885","STM14_4885","SL1344_4011","pfkA","pfkA","6-phosphofructokinase","protein_coding","-","HeLa","Attenuated",-2.96955415647997,7.60060708791891,101.82086523833,8.15238261090899e-05,0.0371229859073119,-1.83327194342889
"STM14_4195","STM14_4195","SL1344_3450","rpe","rpe","ribulose-phosphate 3-epimerase","protein_coding","-","HeLa","Attenuated",-5.41892275624626,5.0282709870487,97.0244596980339,9.2792860551042e-05,0.0387332865416808,-3.34540423549996
"STM14_4809","STM14_4809","SL1344_3947","polA","polA","DNA polymerase I","protein_coding","-","HeLa","Attenuated",-5.33613556502997,6.95470803383779,90.4986788005755,0.000111796113416889,0.0399990522932282,-3.29429506997054
"STM14_4041","STM14_4041","SL1344_3321","degS","degS","serine endoprotease","protein_coding","-","HeLa","Attenuated",-3.20741680734529,7.78063489004752,87.9327315169547,0.0001207172177747,0.0403115029222314,-1.98011786751128
"STM14_2309","STM14_2309","SL1344_1833","ruvC","ruvC","Holliday junction resolvase","protein_coding","-","HeLa","Attenuated",-4.2897060127976,5.13009949688538,79.7543987686858,0.000156513580863704,0.0415299019772956,-2.64827555397813
"STM14_2042","STM14_2042","SL1344_1622","sapA","sapA","peptide transport protein","protein_coding","-","HeLa","Attenuated",-4.43590200040453,5.44405336283335,78.9208957141182,0.000160936045048129,0.0415299019772956,-2.73853051758497
"STM14_0184","STM14_0184","SL1344_0153","aceF","aceF","dihydrolipoamide acetyltransferase","protein_coding","-","HeLa","Attenuated",-4.03706062141039,4.29606613154803,78.789474514183,0.000161648754476325,0.0415299019772956,-2.4923034169972
"STM14_3717","STM14_3717","SL1344_3052","tktA","tktA","transketolase","protein_coding","-","HeLa","Attenuated",-3.96337444174899,6.4775925278861,78.0355549073209,0.000165821129875407,0.0415299019772956,-2.44681281515148
"STM14_2858","STM14_2858","SL1344_2286","nuoM","nuoM","NADH dehydrogenase subunit M","protein_coding","-","HeLa","Attenuated",-3.14709993941609,6.08765583723225,68.9360864167559,0.000230029579864023,0.0460924166502904,-1.94288088988324
"STM14_4648","STM14_4648","SL1344_3820","phoU","phoU","transcriptional regulator PhoU","protein_coding","-","HeLa","Attenuated",-6.46170443519761,5.45787495310319,89.7632911139944,0.000264133539584677,0.0460924166502904,-3.98917171519774
"STM14_2333","STM14_2333","SL1344_1853","cheR","cheR","chemotaxis methyltransferase CheR","protein_coding","-","HeLa","Amplified",2.16417555492596,7.91602263686173,64.3133944702184,0.000275974821316508,0.0460924166502904,1.33606666739609
"STM14_0108","STM14_0108","SL1344_0090","apaG","apaG","ApaG","protein_coding","-","HeLa","Attenuated",-2.8957904392801,6.27371727362258,64.2368019154296,0.000276836860948803,0.0460924166502904,-1.78773347332203
"STM14_2336","STM14_2336","SL1344_1856","cheA","cheA","chemotaxis protein CheA","protein_coding","-","HeLa","Amplified",2.17510760751182,8.83375511715041,63.0383102217639,0.000290814397606768,0.0460924166502904,1.34281563516488
"STM14_2756","STM14_2756","SL1344_2206","-","SL1344_2206","DNA polymerase V subunit","protein_coding","-","HeLa","Amplified",2.26864742595882,8.47990917482623,59.4305432411142,0.000339132711500658,0.0460924166502904,1.40056299915153
"STM14_0741","STM14_0741","SL1344_0623","lipB","lipB","lipoyltransferase","protein_coding","-","HeLa","Attenuated",-5.34108985503356,4.31113677352764,77.6619104754341,0.000341246197885866,0.0460924166502904,-3.29735363040911
"STM14_3319","STM14_3319","SL1344_2738","-","SL1344_2738","putative hexulose 6 phosphate synthase","protein_coding","-","HeLa","Amplified",2.07680034720336,8.89598212114137,57.9139701357317,0.000362708264343222,0.0460924166502904,1.28212506255296
"STM14_1709","STM14_1709","SL1344_1347","ssaM","ssaM","type III secretion system apparatus protein","protein_coding","SPI-2","HeLa","Amplified",2.27500170223744,7.51727744461837,57.6622409140592,0.000366834707378215,0.0460924166502904,1.40448584945448
"STM14_2157","STM14_2157","SL1344_1712","ychF","ychF","translation-associated GTPase","protein_coding","-","HeLa","Attenuated",-4.08388141902875,5.54005480688401,57.5760379639301,0.000368262404021633,0.0460924166502904,-2.52120851524415
"STM14_4960","STM14_4960","SL1344_4075","udhA","udhA","soluble pyridine nucleotide transhydrogenase","protein_coding","-","HeLa","Attenuated",-3.04869574785395,6.41965154930036,57.5370800772366,0.000368910097736273,0.0460924166502904,-1.8821304761846
"STM14_3490","STM14_3490","SL1344_2870","spaO","spaO","surface presentation of antigens protein SpaO","protein_coding","SPI-1","HeLa","Attenuated",-2.69358789769072,6.30356631943523,56.4991494889807,0.000386750169290885,0.0460924166502904,-1.66290253007188
"STM14_0594","STM14_0594","SL1344_0499","tesA","tesA","multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1","protein_coding","-","HeLa","Amplified",1.7899009881803,8.46191748657349,56.2584938954833,0.000391052951172001,0.0460924166502904,1.10500603465546
"STM14_1616","STM14_1616","SL1344_1266","rfc","rfc","O-antigen polymerase","protein_coding","-","HeLa","Amplified",2.54258046848078,7.98662795777619,56.0668936943,0.000394525174567905,0.0460924166502904,1.56967719433728
"STM14_2380","STM14_2380","SL1344_1889","fliD","fliD","flagellar capping protein","protein_coding","-","HeLa","Attenuated",-2.73230539791672,7.25678954568726,55.7185408563108,0.000400945961316199,0.0460924166502904,-1.68680500941516
"STM14_2577","STM14_2577","SL1344_2060","rfbK","rfbK","phosphomannomutase","protein_coding","-","HeLa","Amplified",2.30234195760312,8.55153237929911,55.6057228036704,0.000403055759204951,0.0460924166502904,1.42136451892704
"STM14_3497","STM14_3497","SL1344_2877","invG","invG","outer membrane secretin precursor","protein_coding","SPI-1","HeLa","Attenuated",-2.13410106718861,8.73988500349234,55.3857190583978,0.000407213519666317,0.0460924166502904,-1.3175000032854
"StyR-24g","StyR-24g","ncRNA0414","StyR-24g","StyR-24g","Overlap",NA,"-","HeLa","Amplified",4.14839535816356,4.94031541713349,55.3395132072005,0.000408094125713121,0.0460924166502904,2.56103657977627
