"Molecule","locus_tag","gene_name","gene_func","COG","description","theme","FDR_liver","logFC_liver","FDR_spleen","logFC_spleen"
"Chromosome","DapZ","DapZ","-",NA,"no category","no theme",0.537051235591226,0.594659965766226,0.692368994718822,0.455091505398905
"Chromosome","holD","holD","-","H","Coenzyme transport and metabolism","Metabolism",0.999204941602324,-0.118021172205966,0.995125012877387,0.0965324915685106
"Chromosome","IstR-1,2","IstR-1,2","-",NA,"no category","no theme",0.801549389639429,-0.25818781649444,0.690388470913226,-0.439991340281795
"Chromosome","mgtC","mgtC","-","S","Function Unknown","Poorly characterised",0.0141844258417633,-1.67498990959,0.0329010395181945,-1.58252186224757
"Chromosome","ncRNA0002","ArcZ","non-coding",NA,"no category","no theme",0.602576012447235,-0.490311187489392,0.926275603301589,0.14147178948857
"Chromosome","ncRNA0007","CsrB","-","-","no category","no theme",0.999204941602324,-0.352807308071667,0.995125012877387,-0.0639164913624308
"Chromosome","ncRNA0008","CsrC","-","-","no category","no theme",0.504472873612741,0.755057313448185,0.158771742264671,1.22586998483426
"Chromosome","ncRNA0028","IsrC","non-coding",NA,"no category","no theme",0.340384880205015,0.939851300039426,0.0636725196402419,1.41829251606163
"Chromosome","ncRNA0032","IsrG","non-coding",NA,"no category","no theme",0.999204941602324,0.416117095562831,0.958496646705595,0.508656472991972
"Chromosome","ncRNA0035","IsrI","-","-","no category","no theme",0.58238087255877,0.581249912645415,0.332090791730555,0.892807646408513
"Chromosome","ncRNA0039","IsrM","non-coding",NA,"no category","no theme",0.919162675781834,0.113476681175837,0.928867276960711,0.129883336977037
"Chromosome","ncRNA0040","IsrN","non-coding",NA,"no category","no theme",0.970852216633299,0.045331027619045,0.426136737211002,0.709015129646009
"Chromosome","ncRNA0043","IsrQ","non-coding",NA,"no category","no theme",0.425815934554787,-0.715557090868225,0.421707525254355,-0.731873207874068
"Chromosome","ncRNA0048","MicC","non-coding",NA,"no category","no theme",0.887249340920785,0.157215063283674,0.927100502863201,-0.131012750061074
"Chromosome","ncRNA0066","RyeF","Participates in the control of copper homeostasis","P","Inorganic ion transport and metabolism","Metabolism",0.999204941602324,-0.00264170628225092,0.974165979876778,0.38498873258273
"Chromosome","ncRNA0067","RyfA","non-coding",NA,"no category","no theme",0.646072288730519,-0.442420327352842,0.97654632932068,-0.0495401348246169
"Chromosome","ncRNA0073","SgrS","non-coding",NA,"no category","no theme",0.500659896978658,0.745998439426352,0.797887034182505,0.355508197882367
"Chromosome","ncRNA0081","SraF","non-coding",NA,"no category","no theme",0.98437353427509,0.672525584814607,0.960906097861678,0.469001668537836
"Chromosome","ncRNA0089","SsrS","non-coding",NA,"no category","no theme",0.999204941602324,-0.439567633988842,0.974040132572591,-0.442506972079662
"Chromosome","ncRNA0164","STnc440","non-coding",NA,"no category","no theme",0.507437831920298,-0.603556687935867,0.657135826817213,-0.49345655067743
"Chromosome","ncRNA0199","STnc780","non-coding",NA,"no category","no theme",0.388873519393257,-0.810055961489462,0.686757821486536,-0.465921642715005
"Chromosome","ncRNA0207","STnc880","non-coding",NA,"no category","no theme",0.684699250329853,-0.404896630403241,0.971185540555364,-0.0580613629339149
