"locus_tag","gene_name","gene_function","DNA_molecule","SPI","COG","description","theme","model","DE","logFC","logCPM","F","PValue","FDR","zscore","DE_rec"
"SL1344_2660","smpB","SsrA (tmRNA)-binding protein","Chromosome","-","J","Translation, ribosomal structure and biogenesis","Information storage and processing","Macrophage-SL1344","Attenuated",-1.11517785176874,7.02317595903283,317.017770294444,4.17207049194059e-25,1.99216365990163e-21,-4.07627968168865,"Attenuated"
"SL1344_3678","rfaC","lipopolysaccharide heptosyltransferase-1","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-4.32831327582745,3.67544257695147,279.767870618074,8.62635720569119e-24,2.05954278285877e-20,-15.821167389807,"Attenuated"
"SL1344_1230","sppA","protease IV","Chromosome","-","OU","Post-translational modification, protein turnover, and chaperones;Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.751502586507417,7.69852820251577,218.738013443454,2.77843866840861e-21,4.42234821388371e-18,-2.74694724187538,"Attenuated"
"SL1344_0120","mraW","S-adenosyl-methyltransferase","Chromosome","-","J","Translation, ribosomal structure and biogenesis","Information storage and processing","Macrophage-SL1344","Attenuated",-1.03227774600634,6.60097593496063,211.211716788811,6.18078552297712e-21,7.37831271805393e-18,-3.7732571492799,"Attenuated"
"SL1344_2593","SL1344_2593","hypothetical DNA-binding protein","Chromosome","-","K","Transcription","Information storage and processing","Macrophage-SL1344","Attenuated",-1.97340873024403,4.5003297346387,208.070193178689,8.68732316336056e-21,8.29639362100934e-18,-7.21334798570667,"Attenuated"
"SL1344_3262","argG","argininosuccinate synthetase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.978720269289291,6.72524397961446,196.737475321003,3.07920997053724e-20,2.45053793488589e-17,-3.57748994156683,"Attenuated"
"SL1344_0068","carB","carbamoyl-phosphate synthase large chain","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.687641496040375,8.33205764738049,207.056947592747,6.09344663592887e-20,4.15660109808005e-17,-2.51351751126478,"Attenuated"
"SL1344_3945","dsbA","thiol:disulfide interchange protein","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-1.10038470047319,6.64840132592461,216.512268892777,1.06175124095921e-19,6.33732771947529e-17,-4.02220667265376,"Attenuated"
"SL1344_2331","purF","amidophosphoribosyltransferase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-1.85181003288561,6.46444428327336,404.501034553437,3.11319377400156e-19,1.6517222523175e-16,-6.7688715297084,"Attenuated"
"SL1344_2472","guaB","inosine-5'-monophosphate dehydrogenase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-2.33425232637813,4.59013169583211,209.166167733133,7.37308929869428e-19,3.52065014012652e-16,-8.53232990133202,"Attenuated"
"SL1344_3321","degS","serine protease","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-2.04105389459467,4.31995159217453,165.524844616761,1.36462040482139e-18,5.92369312092922e-16,-7.46060954005844,"Attenuated"
"SL1344_2205","yejM","hypothetical sulphatase","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-4.16622058026469,3.05507187497165,161.076915726118,2.44659152378893e-18,9.73539543841012e-16,-15.2286743086141,"Attenuated"
"SL1344_4114","purD","phosphoribosylglycineamide synthetase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-1.7974023661402,6.69857679931707,414.667994866658,2.66560714737623e-18,9.79098009901656e-16,-6.569996645195,"Attenuated"
"ncRNA0164","STnc440","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","Amplified",0.987156997201045,6.1081579367407,150.859045226792,9.80104949743943e-18,3.34285795359095e-15,3.60832848674783,"Amplified"
"SL1344_1356","ssaU","Type III secretion system protein","Chromosome","SPI-2","U","Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.889113615246583,6.39229033472384,133.807247830663,1.16610116682836e-16,3.7120887144036e-14,-3.24995314316372,"Attenuated"
"SL1344_0771","bioB","biotin synthetase","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.691178924322697,7.29705737228303,134.593913883826,1.38655036642529e-16,4.13798624980047e-14,-2.52644777795703,"Attenuated"
