"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore","DE_rec"
"ncRNA0002","ArcZ","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.926275603301589,0.14147178948857,0.10844208291705,"FDR>=0.05"
"ncRNA0007","CsrB","-","Chromosome","-","no category","no theme","Phox-spleen",0.995125012877387,-0.0639164913624308,-0.0489937780609726,"FDR>=0.05"
"ncRNA0008","CsrC","-","Chromosome","-","no category","no theme","Phox-spleen",0.158771742264671,1.22586998483426,0.93966362496362,"FDR>=0.05"
"ncRNA0028","IsrC","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.0636725196402419,1.41829251606163,1.08716087626652,"FDR>=0.05"
"ncRNA0032","IsrG","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.958496646705595,0.508656472991972,0.389899411182229,"FDR>=0.05"
"ncRNA0035","IsrI","-","Chromosome","-","no category","no theme","Phox-spleen",0.332090791730555,0.892807646408513,0.684362028435574,"FDR>=0.05"
"ncRNA0039","IsrM","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.928867276960711,0.129883336977037,0.0995592099946186,"FDR>=0.05"
"ncRNA0040","IsrN","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.426136737211002,0.709015129646009,0.543479924559289,"FDR>=0.05"
"ncRNA0043","IsrQ","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.421707525254355,-0.731873207874068,-0.561001280749753,"FDR>=0.05"
"ncRNA0048","MicC","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.927100502863201,-0.131012750061074,-0.100424936707693,"FDR>=0.05"
"ncRNA0066","RyeF","Participates in the control of copper homeostasis","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.974165979876778,0.38498873258273,0.295104629776663,"FDR>=0.05"
"ncRNA0067","RyfA","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.97654632932068,-0.0495401348246169,-0.0379738987383558,"FDR>=0.05"
"ncRNA0073","SgrS","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.797887034182505,0.355508197882367,0.272506975502459,"FDR>=0.05"
"ncRNA0081","SraF","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.960906097861678,0.469001668537836,0.359502894617191,"FDR>=0.05"
"ncRNA0089","SsrS","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.974040132572591,-0.442506972079662,-0.339193968854918,"FDR>=0.05"
"ncRNA0164","STnc440","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.657135826817213,-0.49345655067743,-0.378248245660643,"FDR>=0.05"
"ncRNA0199","STnc780","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.686757821486536,-0.465921642715005,-0.357141968690733,"FDR>=0.05"
"ncRNA0207","STnc880","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.971185540555364,-0.0580613629339149,-0.0445056583812085,"FDR>=0.05"
"ncRNA0224","STnc1150","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.415202250948873,0.774946659289255,0.594018285813272,"FDR>=0.05"
"ncRNA0255","STnc1590","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.995125012877387,0.0849861674326935,0.065144273984624,"FDR>=0.05"
"ncRNA0256","STnc1600","non-coding","Chromosome",NA,"no category","no theme","Phox-spleen",0.885203850809693,0.628972292515724,0.482124851492233,"FDR>=0.05"
"SL1344_0002","thrA","ACT domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.122424947501111,1.17214270684517,0.898480163895779,"FDR>=0.05"
"SL1344_0004","thrC","Threonine synthase N terminus","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.498093282091946,0.712158003176049,0.545889025010866,"FDR>=0.05"
"SL1344_0006","yaaJ","Sodium:alanine symporter family","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.963458668184584,0.0700008222527854,0.053657587837408,"FDR>=0.05"
"SL1344_0007","talB","Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.794624301890709,-0.752853564705091,-0.577083310978704,"FDR>=0.05"
"SL1344_0008","mog","Probable molybdopterin binding domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.996188712105698,0.0754100909615034,0.0578039435734313,"FDR>=0.05"
"SL1344_0010","htgA","Domain of unknown function (DUF3944)","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.591042280054692,-0.553915667585046,-0.424591849516146,"FDR>=0.05"
"SL1344_0011","yaaI","Protein of unknown function (DUF2541)","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.526072778945411,0.801863887945154,0.614651094321261,"FDR>=0.05"
"SL1344_0014","SL1344_0014","Bacterial regulatory helix-turn-helix protein, lysR family","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.145960053091594,-1.15530435174147,-0.885573093822351,"FDR>=0.05"
"SL1344_0015","SL1344_0015","LydA holin phage, holin superfamily III","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.347925087229543,-0.837217018953207,-0.641750257893108,"FDR>=0.05"
"SL1344_0016","SL1344_0016","Predicted Peptidoglycan domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.779010775393493,0.425437197851489,0.326109509550921,"FDR>=0.05"
"SL1344_0017","SL1344_0017","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.64261596917294,-0.506928580068475,-0.388574932935654,"FDR>=0.05"
"SL1344_0018","chiA","Glyco_18","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.263019543146998,-1.05461309570079,-0.808390430225186,"FDR>=0.05"
