"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","gene_function","DNA_molecule","DE","spi","COG","description","theme","SL1344_tag"
"STMMW_40881",-2.5969022158862,9.06032149052337,2061.33643200069,2.26309396868617e-12,1.09669533722532e-08,"argH","argininosuccinate lyase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_4073"
"STMMW_38791",-2.14746246375963,10.1369438608713,1665.94687225805,6.15411744188821e-12,1.10525360026134e-08,"ilvD","dihydroxyacid dehydratase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_3864"
"STMMW_31461",-3.81036488382997,7.89581823069479,1628.75564695277,6.84226331156423e-12,1.10525360026134e-08,"tolC","outer membrane protein TolC precursor","Chromosome","Attenuated","-","MU","Cell wall/membrane/envelop biogenesis; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","SL1344_3160"
"STMMW_38841",-2.04070606402842,9.49585825650071,1392.82236011083,1.42595463985257e-11,1.72754404618139e-08,"ilvC","ketol-acid reductoisomerase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_3869"
"STMMW_40861",-2.79867626742492,8.26809151200795,1209.65485278586,2.76177590001394e-11,2.57002443218371e-08,"argC","N-acetyl-gamma-glutamyl-phosphate reductase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_4071"
"STMMW_23841",-3.82859268970647,7.38941632931904,1173.63328365056,3.18203602829184e-11,2.57002443218371e-08,"purF","amidophosphoribosyltransferase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_2331"
"STMMW_32891",-2.82950839497653,8.08214649497649,1128.15495155733,3.8291782345875e-11,2.61109548626076e-08,"argG","argininosuccinate synthetase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_3262"
"STMMW_40871",-3.36324347435998,7.97627490492258,1099.98884482922,4.31051669213498e-11,2.61109548626076e-08,"argB","acetylglutamate kinase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_4072"
"STMMW_41291",-2.94707529477537,8.22343448503525,1054.55868861167,5.25159699757585e-11,2.82769322780584e-08,"purH","phosphoribosylaminoimidazolecarboxamide formyltransferase and IMP cyclohydrolase (bifunctional enzyme)","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_4115"
"STMMW_40661",-1.4782924848194,9.53096022204621,862.289856038749,1.34633142026302e-10,6.52432206259461e-08,"metL","bifunctional aspartokinase II/homoserine dehydrogenase IIcan I write","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_4050"
"STMMW_37101",-4.31302593219151,6.35674437230863,802.376669908578,1.88468589323644e-10,8.16420260717843e-08,"rfaP","lipopolysaccharide core biosynthesis protein","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_3687"
"STMMW_00691",-2.44936499911865,7.64956908130434,780.081599618902,2.1496836932433e-10,8.16420260717843e-08,"carB","carbamoyl-phosphate synthase large chain","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_0068"
"STMMW_21051",-3.3876749350962,6.56058196081654,776.126465983288,2.20129801221036e-10,8.16420260717843e-08,"hisB","bifunctional histidine biosynthesis protein (imidazoleglycerol-phosphate dehydratase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_2051"
"STMMW_ncRNA_247",-2.01528665772608,8.60373427094865,764.731730919601,2.35862229674986e-10,8.16420260717843e-08,"AmgR","noncoding RNA","Chromosome","Attenuated","-",NA,"no category","no theme","STMMW_ncRNA_247"
"STMMW_40851",-2.40072140733903,8.74223876302989,826.959048354306,3.05422865379293e-10,9.86719470418702e-08,"argE","acetylornithine deacetylase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_4070"
"STMMW_40271",-2.48732670085443,7.65305972566308,706.34570079098,3.41628667877867e-10,1.03470782783509e-07,"pfkA","6-phosphofructokinase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_4011"
"STMMW_05451",-1.89207872421841,8.33144109815601,632.935353948124,5.69654751044313e-10,1.62385113150632e-07,"acrB","acriflavin resistance protein B","Chromosome","Attenuated","-","V","Defense mechanisms","Cellular processes and signaling","SL1344_0468"
"STMMW_37331",-1.8237077533039,8.55260480312359,596.318610981568,7.51738918719757e-10,1.89480609416921e-07,"recG","ATP-dependent DNA helicase","Chromosome","Attenuated","-","L","Replication, recombination and repair ","Information storage and processing","SL1344_3710"
"STMMW_40491",-3.67509295306323,7.36046651138629,645.321974883084,7.78540677603792e-10,1.89480609416921e-07,"fpr","ferredoxin--NADP reductase","Chromosome","Attenuated","-","C","Energy production and conversion","Metabolism","SL1344_4033"
"STMMW_34741",-2.20036687951758,7.41093355141246,591.279725044122,7.8200829309501e-10,1.89480609416921e-07,"dam","DNA adenine methylase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_3451"
"STMMW_39621",-3.52392401212698,6.21608714901679,564.790103145883,9.67780630743313e-10,2.23326901742004e-07,"dsbA","thiol:disulfide interchange protein","Chromosome","Attenuated","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","SL1344_3945"
