Gene,Locus,Molecule D23580,Start,End,Strand,Product,Input 1 (for Macrophage) read counts,Input 2 (for MAcropahge) read counts,Macrophage 1 (output) read counts,Macrophage 2 (output) read counts,Log2 fold-change output (MAcrophage) vs. input,p-value
thrL,STMMW_00001,D23580,169,255,+,thr operon leader peptide,476,269,345,265,-0.0778137738426594,0.919316119704438
thrA,STMMW_00011,D23580,337,2799,+,aspartokinase I/homoserine dehydrogenase I,3201,1703,2190,1471,-0.213877600808768,0.0641052419554857
thrB,STMMW_00021,D23580,2801,3730,+,HK,1049,554,657,439,-0.339801520948913,0.0952200944383168
thrC,STMMW_00031,D23580,3734,5020,+,threonine synthase,1475,779,841,637,-0.387715136373901,0.011683829972753
yaaA,STMMW_00041,D23580,5114,5887,-,conserved hypothetical protein,809,474,564,394,-0.226726477246136,0.430627150268631
yaaJ,STMMW_00051,D23580,5966,7396,-,putative amino-acid transport protein,1382,697,867,557,-0.332929658364504,0.0641580184319863
talB,STMMW_00061,D23580,7665,8618,+,transaldolase B,951,463,635,421,-0.199064276136322,0.522802393870359
mog,STMMW_00071,D23580,8729,9319,+,molybdopterin biosynthesis Mog protein,588,323,447,285,-0.118579591434483,0.829658658481834
yaaH,STMMW_00081,D23580,9376,9942,-,putative membrane protein,632,351,458,396,0.0231200726110294,0.981645129800702
htgA,STMMW_00091,D23580,10092,10805,-,conserved hypothetical protein,922,486,708,454,-0.0723021296614514,0.892010633340632
yaaI,STMMW_00101,D23580,10841,11245,-,putative exported protein,534,320,395,364,0.0491990071709491,0.953791402027558
dnaK,STMMW_00111,D23580,11593,13509,+,DnaK protein (heat shock protein 70),92,77,92,79,0.169191967225412,0.913190593133334
dnaJ,STMMW_00121,D23580,13595,14734,+,DNAJ protein,149,85,37,24,-1.74621396551427,0.000737379943982637
STMMW_00131,STMMW_00131,D23580,15014,15961,+,putative regulatory protein,1054,704,755,561,-0.241298391292542,0.326258224289089
STMMW_00141,STMMW_00141,D23580,16088,16432,+,putative phage protein,117,73,96,48,-0.24896117773645,0.844312514424363
STMMW_00151,STMMW_00151,D23580,16493,17026,-,conserved hypothetical protein,1219,793,1012,689,-0.0696082986033852,0.873343647656062
STMMW_00161,STMMW_00161,D23580,17043,17486,-,putative membrane protein,184,87,155,84,0.0254279677614798,0.989090437738042
chiA,STMMW_00171,D23580,17867,19966,+,putative chitinase,2339,1223,1837,1291,0.0278685023493528,0.942834091299116
STMMW_00181,STMMW_00181,D23580,20058,23054,+,putative chitinase,3581,1937,2718,2116,0.0292381394442045,0.924479175495423
STMMW_00191,STMMW_00191,D23580,23335,24039,+,conserved hypothetical protein,1323,699,948,667,-0.110635919380076,0.722851531150625
bcfA,STMMW_00201,D23580,24469,25011,+,fimbrial subunit,2037,1244,1320,1153,-0.19781791744001,0.323898338023305
bcfB,STMMW_00211,D23580,25112,25798,+,fimbrial chaperone,1236,728,790,655,-0.231755772995884,0.305507268482787
bcfC,STMMW_00221,D23580,25803,28424,+,fimbrial usher protein,3494,1783,2689,1785,-0.0241802425804669,0.944827142442206
bcfD,STMMW_00231,D23580,28425,29432,+,fimbrial subunit,1309,598,978,678,0.0341590478784924,0.953791402027558
bcfE,STMMW_00241,D23580,29433,29978,+,fimbrial subunit,530,231,455,254,0.121319697439354,0.863781128460271
bcfF,STMMW_00251,D23580,29994,30512,+,fimbrial subunit,557,281,357,314,-0.0758952389749371,0.922338101173073
bcfG,STMMW_00261,D23580,30478,31209,+,fimbrial chaperone,841,430,691,444,0.0468227739304438,0.941927326694958
bcfH,STMMW_00271,D23580,31274,32119,+,putative exported protein,879,412,662,476,0.0545957856813848,0.927118247512919
STMMW_00281,STMMW_00281,D23580,32116,32445,+,putative membrane protein,700,357,447,329,-0.221561155531996,0.52502747660674
