locus_tag,gene_name,start,end,strand,read_count,ins_index,gene_length,ins_count,function,call
STMMW_00001,thrL,169,255,1,183,0.597701149425287,87,52,thr operon leader peptide,not required
STMMW_00011,thrA,337,2799,1,1940,0.278116118554608,2463,685,aspartokinase I/homoserine dehydrogenase I,not required
STMMW_00021,thrB,2801,3730,1,548,0.2,930,186,HK,not required
STMMW_00031,thrC,3734,5020,1,824,0.229215229215229,1287,295,threonine synthase,not required
STMMW_00041,yaaA,5114,5887,-1,409,0.25968992248062,774,201,conserved hypothetical protein,not required
STMMW_00051,yaaJ,5966,7396,-1,821,0.244584206848358,1431,350,putative amino-acid transport protein,not required
STMMW_00061,talB,7665,8618,1,552,0.223270440251572,954,213,transaldolase B,not required
STMMW_00071,mog,8729,9319,1,344,0.219966159052453,591,130,molybdopterin biosynthesis Mog protein,not required
STMMW_00081,yaaH,9376,9942,-1,374,0.209876543209877,567,119,putative membrane protein,not required
STMMW_00091,htgA,10092,10805,-1,531,0.288515406162465,714,206,conserved hypothetical protein,not required
STMMW_00101,yaaI,10841,11245,-1,308,0.293827160493827,405,119,putative exported protein,not required
STMMW_00111,dnaK,11593,13509,1,24,0.00678142931664058,1917,13,DnaK protein (heat shock protein 70),required
STMMW_00121,dnaJ,13595,14734,1,69,0.0298245614035088,1140,34,DNAJ protein,required
STMMW_00131,STMMW_00131,15014,15961,1,480,0.183544303797468,948,174,putative regulatory protein,not required
STMMW_00141,STMMW_00141,16088,16432,1,46,0.072463768115942,345,25,putative phage protein,ambiguous
STMMW_00151,STMMW_00151,16493,17026,-1,657,0.421348314606742,534,225,conserved hypothetical protein,not required
STMMW_00161,STMMW_00161,17043,17486,-1,188,0.123873873873874,444,55,putative membrane protein,not required
STMMW_00171,chiA,17867,19966,1,1284,0.263809523809524,2100,554,putative chitinase,not required
STMMW_00181,STMMW_00181,20058,23054,1,2138,0.248581915248582,2997,745,putative chitinase,not required
STMMW_00191,STMMW_00191,23335,24039,1,640,0.375886524822695,705,265,conserved hypothetical protein,not required
STMMW_00201,bcfA,24469,25011,1,1142,0.567219152854512,543,308,fimbrial subunit,not required
STMMW_00211,bcfB,25112,25798,1,577,0.342066957787482,687,235,fimbrial chaperone,not required
STMMW_00221,bcfC,25803,28424,1,2100,0.263539282990084,2622,691,fimbrial usher protein,not required
STMMW_00231,bcfD,28425,29432,1,766,0.286706349206349,1008,289,fimbrial subunit,not required
STMMW_00241,bcfE,29433,29978,1,271,0.208791208791209,546,114,fimbrial subunit,not required
STMMW_00251,bcfF,29994,30512,1,316,0.258188824662813,519,134,fimbrial subunit,not required
STMMW_00261,bcfG,30478,31209,1,462,0.219945355191257,732,161,fimbrial chaperone,not required
STMMW_00271,bcfH,31274,32119,1,524,0.205673758865248,846,174,putative exported protein,not required
STMMW_00281,STMMW_00281,32116,32445,1,321,0.248484848484848,330,82,putative membrane protein,not required
STMMW_00291,STMMW_00291,32545,32994,-1,14,0.0155555555555556,450,7,putative membrane protein,required
STMMW_00301,STMMW_00301,33364,34368,1,65,0.0467661691542289,1005,47,putative transcriptional regulator (LysR family),required
STMMW_00311,STMMW_00311,34376,34816,-1,21,0.0340136054421769,441,15,putative transcriptional regulator,required
STMMW_00331,STMMW_00331,35339,37057,1,3334,0.529959278650378,1719,911,possible sulfatase,not required
STMMW_00341,STMMW_00341,37103,38674,-1,1598,0.32824427480916,1572,516,putative secreted 5'-nucleotidase,not required
