LT2_tag,SL1344_tag,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
STM0002,SL1344_0002,0,1862,0,1862
STM0003,SL1344_0003,0,694,0,694
STM0004,SL1344_0004,0,966,0,966
STM0005,SL1344_0005,1.24E-175,610,1.23E-175,610
STM0006,SL1344_0006,0,857,0,857
STM0007,SL1344_0007,0,736,0,736
STM0008,SL1344_0008,3.49E-136,478,3.46E-136,478
STM0009,SL1344_0009,8.66E-132,463,8.57E-132,463
STM0010,SL1344_0010,1.84E-152,480,1.82E-152,480
STM0011,SL1344_0011,2.52E-86,312,2.5E-86,312
STM0012,SL1344_0012,0,1508,0,1508
STM0013,SL1344_0013,0,599,0,599
STM0014,SL1344_0014,0,730,0,730
STM0015,SL1344_0015,7.93E-75,273,7.85E-75,273
STM0016,SL1344_0016,7.96E-128,450,7.89E-128,450
STM0017,SL1344_0017,7.48E-98,350,7.41E-98,350
STM0018,SL1344_0018,0,1243,0,1246
STM0019,SL1344_0019,0,2009,0,2009
STM0020,SL1344_0020,3.71E-162,565,3.68E-162,565
STM0021,SL1344_0021,5.47E-123,434,5.42E-123,434
STM0022,SL1344_0022,3.31E-157,548,3.28E-157,548
STM0023,SL1344_0023,0,1697,0,1697
STM0024,SL1344_0024,0,801,0,801
STM0025,SL1344_0025,8.94E-117,413,8.85E-117,413
STM0026,SL1344_0026,6.12E-121,427,6.06E-121,427
STM0027,SL1344_0027,7.27E-166,577,6.94E-166,577
STM0028,SL1344_0028,1.7E-160,510,1.69E-160,510
STM0029,SL1344_0030,6.5E-92,330,6.44E-92,330
STM0030,SL1344_0031,0,788,0,788
STM0031,SL1344_0032,8.03E-95,340,7.95E-95,340
STM0032,SL1344_0033,0,1353,0,1353
STM0033,SL1344_0034,0,1264,0,1264
STM0034,SL1344_0035,0,636,0,636
STM0035,SL1344_0036,0,1225,0,1225
STM0036,SL1344_0037,0,996,0,996
STM0037,SL1344_0038,0,1009,0,1009
STM0038,SL1344_0039,0,1386,0,1386
STM0039,SL1344_0040,0,774,0,774
STM0040,SL1344_0041,0,678,0,678
STM0041,SL1344_0042,0,1714,0,1714
STM0042,SL1344_0043,0,1098,0,1098
STM0043,SL1344_0044,2.99E-56,211,2.96E-56,211
STM0044,SL1344_0045,6.62E-46,176,6.55E-46,176
STM0045,SL1344_0046,0,730,0,730
STM0046,SL1344_0047,0,2300,0,2300
STM0047,SL1344_0048,7.42E-112,397,7.35E-112,397
STM0048,SL1344_0049,8.17E-99,353,8.09E-99,353
STM0049,SL1344_0050,0,732,0,732
STM0050,SL1344_0051,0,996,0,996
STM0051,SL1344_0052,0,752,0,752
STM0052,SL1344_0053,1.63E-160,559,1.61E-160,559
STM0053,SL1344_0054,0,1156,0,1156
STM0054,SL1344_0055,0,553,0,553
STM0054,SL1344_0745,0,553,0,553
STM0054,SL1344_3323,0,528,0,528
STM0055,SL1344_0056,0,1162,0,1162
STM0055,SL1344_0744,0,1161,0,1161
STM0055,SL1344_3324,0,1158,0,1158
STM0056,SL1344_0057,2.72E-52,168,2.69E-52,168
STM0057,SL1344_0058,0,1018,0,1018
STM0058,SL1344_0059,0,631,0,631
STM0059,SL1344_0060,6.74E-64,237,6.68E-64,237
STM0060,SL1344_0061,0,692,0,692
STM0061,SL1344_0062,0,1196,0,1196
STM0062,SL1344_0063,4.07E-127,448,4.03E-127,448
STM0063,SL1344_0064,0,740,0,740
STM0064,SL1344_0065,0,654,0,654
STM0065,SL1344_0066A,3.88E-69,147,2.41E-74,149
STM0066,SL1344_0067,0,915,0,915
STM0067,SL1344_0068,0,2506,0,2506
STM0068,SL1344_0069,1.31E-90,326,1.29E-90,326
STM0069,SL1344_0070,1.26E-135,476,1.25E-135,476
STM0070,SL1344_0071,1.89E-164,572,1.87E-164,572
STM0071,SL1344_0072,0,1253,0,1253
STM0072,SL1344_0073,0,998,0,998
STM0073,SL1344_0074,0,916,0,916
STM0074,SL1344_0075,0,1256,0,1256
STM0075,SL1344_0076,1.06E-165,577,1.05E-165,577
STM0076,SL1344_0077,0,756,0,756
STM0077,SL1344_0078,0,1005,0,1005
STM0078,SL1344_0079,1.86E-64,238,1.84E-64,238
STM0079,SL1344_0080,0,1044,0,1044
STM0080,SL1344_0081,2.23E-51,194,2.21E-51,194
STM0081,SL1344_0082,2.62E-98,352,2.6E-98,352
STM0082,SL1344_0083,1E-64,239,9.93E-65,239
STM0084,SL1344_0084,0,1570,0,1570
STM0085,SL1344_0086,5.76E-128,451,5.7E-128,451
STM0086,SL1344_0087,0,867,0,867
STM0087,SL1344_0088,1.22E-110,393,1.21E-110,393
STM0088,SL1344_0089,0,699,0,699
STM0089,SL1344_0090,3.49E-87,314,3.45E-87,314
STM0090,SL1344_0091,0,659,0,659
STM0091,SL1344_0092,0,736,0,736
STM0092,SL1344_0093,0,1002,0,1002
STM0093,SL1344_0094,0,1930,0,1930
STM0094,SL1344_0095,1.46E-155,385,1.44E-155,385
STM0095,SL1344_0096,1.12E-152,533,1.11E-152,533
STM0096,SL1344_0097,0,2287,0,2287
STM0097,SL1344_0098,0,1909,0,1909
STM0098,SL1344_0099,2.5E-139,489,2.47E-139,489
STM0100,SL1344_0100,3.98E-99,354,3.94E-99,354
STM0101,SL1344_0101,5E-162,564,4.95E-162,564
STM0102,SL1344_0102,0,1220,0,1220
STM0103,SL1344_0103,0,1286,0,1286
STM0104,SL1344_0104,0,679,0,679
STM0105,SL1344_0105,2.46E-151,436,2.43E-151,436
STM0106,SL1344_0106,1.97E-162,566,1.95E-162,566
STM0107,SL1344_0107,0,698,0,698
STM0108,SL1344_0108,0,800,0,800
STM0109,SL1344_0109,0,1374,0,1374
STM0110,SL1344_0110,6.28E-139,487,6.22E-139,487
STM0111,SL1344_0111,0,1097,0,1097
STM0112,SL1344_0112,0,850,0,850
STM0113,SL1344_0113,0,1221,0,1221
STM0114,SL1344_0114,5.16E-16,75.3,4.53E-16,75.3
STM0115,SL1344_0115,0,750,0,750
STM0116,SL1344_0116,0,1292,0,1292
STM0117,SL1344_0117,2.2E-109,389,2.18E-109,389
STM0118,SL1344_0118,0,786,0,786
STM0119,SL1344_0119,1.86E-104,372,1.84E-104,372
STM0120,SL1344_0120,0,725,0,725
STM0121,SL1344_0121,3.91E-73,268,3.87E-73,268
STM0122,SL1344_0122,0,1375,0,1375
STM0123,SL1344_0123,0,961,0,961
STM0124,SL1344_0124,0,656,0,656
STM0125,SL1344_0125,0,847,0,847
STM0126,SL1344_0126,0,683,0,683
STM0127,SL1344_0127,0,863,0,863
STM0128,SL1344_0128,0,840,0,840
STM0129,SL1344_0129,0,1071,0,1071
STM0130,SL1344_0130,0,713,0,713
STM0131,SL1344_0131,0,659,0,659
STM0132,SL1344_0132,0,922,0,922
STM0133,SL1344_0133,0,639,0,639
STM0134,SL1344_0134,0,752,0,752
STM0135,SL1344_0135,6.54E-93,334,6.47E-93,334
STM0136,SL1344_0136,0,1945,0,1945
STM0137,SL1344_0137,4.61E-90,324,4.56E-90,324
STM0138,SL1344_0138,1.11E-39,155,1.1E-39,155
STM0139,SL1344_0139,3.08E-167,582,3.05E-167,582
STM0140,SL1344_0140,4.02E-129,455,3.98E-129,455
STM0141,SL1344_0141,0,818,0,818
STM0142,SL1344_0142,0,882,0,882
STM0143,SL1344_0143,0,1103,0,1103
STM0144,SL1344_0144,1.49E-106,379,1.47E-106,379
STM0145,SL1344_0145,2.79E-171,595,2.24E-171,595
STM0146,SL1344_0146,1.89E-133,469,1.87E-133,469
STM0147,SL1344_0147,0,659,0,659
STM0148,SL1344_0148,0,813,0,813
STM0149,SL1344_0149,0,1091,0,1091
STM0150,SL1344_0150,0,1057,0,1057
STM0151,SL1344_0151,4.96E-174,555,4.92E-174,555
STM0152,SL1344_0152,0,2101,0,2101
STM0153,SL1344_0153,0,693,0,693
STM0154,SL1344_0154,0,1075,0,1075
STM0155,SL1344_0155,2.95E-62,231,2.92E-62,231
STM0156,SL1344_0156,1.76E-171,596,1.74E-171,596
STM0158,SL1344_0159,0,1948,0,1948
STM0159,SL1344_0160,0,685,0,685
STM0160,SL1344_0161,2.37E-83,302,2.34E-83,302
STM0161,SL1344_0162,0,757,0,757
STM0162,SL1344_0163,0,898,0,898
STM0163,SL1344_0164,0,767,0,767
STM0164,SL1344_0165,5.15E-169,588,5.1E-169,588
STM0165,SL1344_0166,0,641,0,641
STM0166,SL1344_0167,0,708,0,708
STM0167,SL1344_0168,1.01E-77,283,9.96E-78,283
STM0168,SL1344_0169,0,972,0,972
STM0169,SL1344_0170,0,1529,0,1529
STM0170,SL1344_0171,1.29E-117,416,1.28E-117,416
STM0171,SL1344_0172,5.13E-155,541,5.08E-155,541
STM0172,SL1344_0173,0,734,0,734
STM0173,SL1344_0174,1.24E-167,583,1.23E-167,583
STM0174,SL1344_0175,0,870,0,870
STM0175,SL1344_0176,0,1293,0,1293
STM0176,SL1344_0177,1.27E-157,550,1.26E-157,550
STM0177,SL1344_0178,1.92E-116,412,1.9E-116,412
STM0178,SL1344_0179,6.27E-100,357,6.2E-100,357
STM0179,SL1344_0180,0,981,0,981
STM0180,SL1344_0181,1.71E-86,312,1.69E-86,312
STM0181,SL1344_0182,0,413,0,413
STM0182,SL1344_0183,6.78E-164,571,6.71E-164,571
STM0183,SL1344_0184,8.9E-111,393,8.82E-111,393
STM0184,SL1344_0185,0,1039,0,1039
STM0185,SL1344_0186,0,764,0,764
STM0186,SL1344_0187,2.68E-95,220,2.66E-95,220
STM0187,SL1344_0188,4.69E-149,521,4.65E-149,521
STM0188,SL1344_0189,2.82E-127,448,2.79E-127,448
STM0190,SL1344_0191,0,1112,0,1112
STM0191,SL1344_0192,0,1683,0,1683
STM0192,SL1344_0193,0,660,0,660
STM0193,SL1344_0194,0,673,0,673
STM0194,SL1344_0195,0,678,0,678
STM0195,SL1344_0196,2.79E-126,445,2.76E-126,445
STM0196,SL1344_0197,0,2033,0,2033
STM0197,SL1344_0198,8.14E-171,593,8.06E-171,593
STM0198,SL1344_0199,7.07E-103,367,6.21E-103,367
STM0199,SL1344_0200,1.32E-107,383,1.31E-107,383
STM0200,SL1344_0201,1.01E-122,433,1E-122,433
STM0201,SL1344_0202,0,679,0,679
STM0202,SL1344_0203,0,1021,0,1021
STM0203,SL1344_0204,0,625,0,625
STM0204,SL1344_0205,1.5E-76,279,1.26E-76,279
STM0205,SL1344_0206,1.49E-133,332,1.47E-133,332
STM0206,SL1344_0207,1.39E-177,575,1.37E-177,575
STM0207,SL1344_0208,2.66E-154,539,2.64E-154,539
STM0208,SL1344_0209,0,1055,0,1055
STM0209,SL1344_0210,0,933,0,933
STM0210,SL1344_0211,0,896,0,896
STM0211,SL1344_0212,2.21E-89,322,2.19E-89,322
STM0212,SL1344_0213,0,847,0,847
STM0213,SL1344_0214,0,655,0,655
STM0214,SL1344_0215,0,2059,0,2059
STM0215,SL1344_0216,0,646,0,646
STM0216,SL1344_0217,7.22E-166,577,7.15E-166,577
STM0217,SL1344_0218,0,685,0,685
STM0218,SL1344_0219,1.87E-173,602,1.85E-173,602
STM0219,SL1344_0220,2.77E-130,458,2.75E-130,458
STM0220,SL1344_0221,0,925,0,925
STM0221,SL1344_0222,1.12E-174,606,1.11E-174,606
STM0222,SL1344_0223,0,672,0,672
STM0223,SL1344_0224,0,1055,0,1055
STM0224,SL1344_0225,0,1932,0,1932
STM0225,SL1344_0226,3.49E-111,395,3.46E-111,395
STM0226,SL1344_0227,0,774,0,774
STM0227,SL1344_0228,1.84E-104,372,1.82E-104,372
STM0228,SL1344_0229,0,647,0,647
STM0229,SL1344_0230,0,899,0,899
STM0230,SL1344_0231,2.79E-137,482,2.76E-137,482
STM0231,SL1344_0232,0,1938,0,1938
STM0232,SL1344_0233,0,484,0,484
STM0233,SL1344_0234,0,1165,0,1165
STM0234,SL1344_0235,0,1741,0,1741
STM0235,SL1344_0236,5.72E-85,307,5.75E-85,307
STM0236,SL1344_0237,0,889,0,889
STM0237,SL1344_0238,1.86E-54,205,1.77E-54,205
STM0238,SL1344_0239,1.03E-47,182,1.02E-47,182
STM0239,SL1344_0240,1.81E-125,442,1.8E-125,442
STM0240,SL1344_0241,2.13E-95,342,2.11E-95,342
STM0242,SL1344_0243,0,1306,0,1306
STM0243,SL1344_0244,7.03E-153,347,6.96E-153,347
STM0244,SL1344_0245,5.63E-88,317,5.58E-88,317
STM0245,SL1344_0246,3.3E-171,595,3.26E-171,595
STM0246,SL1344_0247,6.9E-155,540,6.83E-155,540
STM0247,SL1344_0248,0,819,0,819
STM0248,SL1344_0249,3.59E-129,455,3.56E-129,455
STM0255,SL1344_0250,0,642,0,642
STM0256,SL1344_0251,0,741,0,741
STM0257,SL1344_0252,0,955,0,955
STM0258,SL1344_0253,0,627,0,627
STM0259,SL1344_0254,6.06E-179,621,6E-179,621
STM0260,SL1344_0255,0,1059,0,1059
STM0261,SL1344_0256,3.14E-179,621,3.11E-179,621
STM0262,SL1344_0257,4.12E-171,594,4.08E-171,594
STM0263,SL1344_0258,1.09E-109,390,1.08E-109,390
STM0264,SL1344_0259,1.74E-176,612,1.74E-176,612
STM0266,SL1344_0260,0,865,0,865
STM0267,SL1344_0261,0,808,0,808
STM0268,SL1344_0262,0,1449,0,1449
STM0269,SL1344_0263,7.97E-113,400,7.89E-113,400
STM0270,SL1344_0264,0,673,0,673
STM0271,SL1344_0265,0,749,0,749
STM0272,SL1344_0266,0,1900,0,1900
STM0273,SL1344_0267,1.21E-116,413,1.2E-116,413
STM0274,SL1344_0268,0,1065,0,1071
STM0275,SL1344_0270,1.19E-76,279,1.78E-76,279
STM0276,SL1344_0271,1.58E-109,389,1.56E-109,389
STM0276,SL1344_0274,5.19E-104,371,5.14E-104,371
STM0277,SL1344_0272,4.43E-110,391,4.39E-110,391
STM0278,SL1344_0273,1.74E-86,312,1.73E-86,312
STM0279,SL1344_0271,5.19E-104,371,5.14E-104,371
STM0279,SL1344_0274,1.06E-108,386,1.05E-108,386
STM0280,SL1344_0275,3.35E-125,441,3.32E-125,441
STM0281,SL1344_0276,0,1000,0,1000
STM0282,SL1344_0277,0,1035,0,1035
STM0283,SL1344_0278,2.99E-178,618,2.96E-178,618
STM0284,SL1344_0279,6.6E-101,360,6.53E-101,360
STM0285,SL1344_0280,0,1688,0,1688
STM0286,SL1344_0281,0,684,0,684
STM0287,SL1344_0282,3.11E-96,345,3.08E-96,345
STM0288,SL1344_0283,1.27E-125,443,1.26E-125,443
STM0289,SL1344_0284,0,1660,0,1660
STM0290,SL1344_0285,5.07E-105,374,5.02E-105,374
STM0292,SL1344_0286B,2.95E-180,625,3.07E-180,625
STM0293,SL1344_0288,4E-102,364,3.96E-102,364
STM0294,SL1344_0289,3.29E-100,358,3.77E-100,358
STM0295,SL1344_0291,8.39E-66,243,8.31E-66,243
STM0296,SL1344_0292,9.81E-56,209,1.38E-55,209
STM0297,SL1344_0293,3.45E-28,117,1.55E-28,117
STM0298,SL1344_0294,8.14E-63,233,1.61E-62,233
STM0299,SL1344_0295,5.57E-116,411,5.51E-116,411
STM0300,SL1344_0296,6.07E-168,584,6.01E-168,584
STM0301,SL1344_0297,0,1946,0,1946
STM0302,SL1344_0298,3.63E-108,385,3.59E-108,385
STM0303,SL1344_0299,0,682,0,682
STM0304,SL1344_0300,0,732,0,732
STM0305,SL1344_0301,1.46E-47,182,1.45E-47,182
STM0306,SL1344_0302,2.17E-171,595,2.15E-171,595
STM0307,SL1344_0303,2.78E-91,328,2.76E-91,328
STM0308,SL1344_0304,1.23E-179,623,1.22E-179,623
STM0309,SL1344_0305,0,1899,0,1899
STM0310,SL1344_0306,3.99E-130,458,3.95E-130,458
STM0311,SL1344_0307,0,642,0,642
STM0312,SL1344_0308,4.56E-164,571,4.51E-164,571
STM0313,SL1344_0309,0,850,0,850
STM0315,SL1344_0311,1.94E-140,492,1.93E-140,492
STM0316,SL1344_0312,0,1154,0,1154
STM0317,SL1344_0313,1.71E-103,369,1.7E-103,369
STM0318,SL1344_0314,0,1015,0,1015
STM0319,SL1344_0315,6.03E-93,334,5.97E-93,334
STM0320,SL1344_0316,0,809,0,809
STM0321,SL1344_0317,0,848,0,848
STM0322,SL1344_0318,0,929,0,929
STM0324,SL1344_0546,2.69E-14,71.6,4.16E-14,71.6
STM0325,SL1344_0319,0,646,0,646
STM0327,SL1344_0322,9.92E-75,273,9.82E-75,273
STM0328,SL1344_0323,0,1022,0,1022
STM0329,SL1344_0324,0,968,0,968
STM0330,SL1344_0325,5.59E-145,507,5.53E-145,507
STM0331,SL1344_0326,0,716,0,716
STM0332,SL1344_0327,0,718,0,718
STM0333,SL1344_0328,0,774,0,774
STM0334,SL1344_0329,5.19E-62,230,5.14E-62,230
STM0335,SL1344_0330,2.47E-86,312,2.44E-86,312
STM0336,SL1344_0331,1.26E-158,357,1.25E-158,357
STM0337,SL1344_0332,0,1085,0,1085
STM0338,SL1344_0333,0,1441,0,1443
STM0339,SL1344_0334,1.32E-176,613,1.31E-176,613
STM0340,SL1344_0335,2.86E-123,435,2.83E-123,435
STM0341,SL1344_0336,6.5E-176,610,6.44E-176,610
STM0342,SL1344_0337,3.14E-64,212,6.65E-64,212
STM0343,SL1344_0338,0,1143,0,1143
STM0344,SL1344_0339,4.98E-173,601,4.93E-173,601
STM0345,SL1344_0340,3.84E-108,385,3.8E-108,385
STM0346,SL1344_0341,7.86E-112,397,7.87E-112,397
STM0347,SL1344_0342,1.09E-144,506,1.08E-144,506
STM0348,SL1344_0343,1.15E-47,182,1.14E-47,182
STM0349,SL1344_0344,9.13E-84,303,9.04E-84,303
STM0350,SL1344_0345,0,1061,0,1061
STM0352,SL1344_0347,0,810,0,810
STM0353,SL1344_0348,0,1707,0,1707
STM0354,SL1344_0349,7.89E-102,363,7.81E-102,363
STM0355,SL1344_0350,1.46E-38,151,1.44E-38,151
STM0356,SL1344_0351,0,994,0,994
STM0357,SL1344_0352,0,1532,0,1532
STM0358,SL1344_0353,0,2297,0,2297
